"rbd_cc","vacantes"
"199_711000000133",70
"199_811000000133",37
"199_131000000133",104
"199_231000000133",39
"199_331000000133",21
"199_351056027133",10
"199_431000000133",6
"199_451056027133",10
"200_131000000133",127
"200_231000000133",17
"200_341041005133",4
"200_351052013133",2
"200_351053014133",1
"200_351054019133",2
"200_361064001133",18
"200_441041005133",5
"200_451052013133",2
"200_451053014133",5
"200_451054019133",3
"200_461064001133",7
"201_401000000133",70
"201_501000000133",39
"201_111000000133",38
"201_211000000133",26
"201_311000000133",20
"201_411000000133",9
"201_511000000133",23
"201_611000000133",20
"201_711000000133",23
"201_811000000133",8
"203_401000000132",53
"203_501000000131",17
"203_111000000133",46
"203_211000000133",32
"203_311000000133",13
"203_411000000133",7
"203_511000000133",30
"203_611000000133",3
"203_711000000133",4
"203_811000000133",3
"204_401000000131",70
"204_501000000131",5
"204_111000000133",5
"204_211000000133",8
"204_311000000133",5
"204_411000000133",2
"204_511000000133",11
"204_611000000133",1
"204_711000000133",5
"204_811000000133",3
"205_401000000131",60
"205_501000000131",24
"205_111000000133",26
"205_211000000133",30
"205_311000000133",8
"205_411000000133",17
"205_511000000133",39
"205_611000000133",30
"205_711000000133",9
"205_811000000133",0
"206_401000000132",70
"206_501000000131",39
"206_111000000133",29
"206_211000000133",25
"206_311000000133",21
"206_411000000133",18
"206_511000000133",37
"206_611000000133",19
"208_401000000131",70
"208_501000000131",6
"208_111000000131",23
"208_211000000131",11
"208_311000000133",4
"208_411000000133",2
"208_511000000133",15
"208_611000000133",10
"208_711000000133",4
"208_811000000133",0
"208_131000000133",40
"208_231000000133",4
"208_331000000133",1
"208_431000000133",11
"210_401000000131",60
"210_501000000131",24
"210_111000000131",41
"210_211000000131",29
"210_311000000131",27
"210_411000000131",30
"210_511000000131",14
"210_611000000131",21
"210_711000000131",23
"210_811000000131",21
"211_131000000133",90
"211_231000000133",9
"211_331000000133",2
"211_351052010133",11
"211_351056027133",16
"211_431000000133",15
"211_451052010133",6
"211_451056027133",21
"214_111000000133",10
"214_211000000133",9
"214_311000000133",6
"214_411000000133",8
"214_511000000133",5
"214_611000000133",1
"217_131000000133",189
"217_231000000133",17
"217_331000000133",45
"217_431000000133",17
"218_131000000133",150
"218_231000000133",19
"218_331000000133",23
"218_361064001133",17
"218_431000000133",8
"218_461064001133",17
"219_131000000133",299
"219_231000000133",67
"219_351052009133",3
"219_351052010133",6
"219_351052013133",3
"219_351053014133",2
"219_361063011133",15
"219_451052009133",3
"219_451052010133",5
"219_451052013133",3
"219_451053014133",1
"219_461063011133",20
"220_131000000133",256
"220_231000000133",60
"220_351053015133",12
"220_351054018133",6
"220_351054019133",3
"220_351056027133",6
"220_451053015133",7
"220_451054018133",2
"220_451054019133",1
"220_451056027133",3
"223_111000000133",68
"223_211000000133",12
"223_311000000133",21
"223_411000000133",15
"223_511000000133",11
"223_611000000133",7
"223_711000000133",0
"223_811000000133",7
"224_111000000133",82
"224_211000000133",9
"224_311000000133",11
"224_411000000133",13
"224_511000000133",19
"224_611000000133",11
"224_711000000133",14
"224_811000000133",12
"225_111000000133",120
"225_211000000133",44
"225_311000000133",10
"225_411000000133",11
"225_511000000133",9
"225_611000000133",4
"225_711000000133",9
"225_811000000133",17
"226_111000000133",120
"226_211000000133",16
"226_311000000133",13
"226_411000000133",7
"226_511000000133",13
"226_611000000133",8
"226_711000000133",9
"226_811000000133",20
"227_111000000133",195
"227_211000000133",37
"227_311000000133",21
"227_411000000133",16
"227_511000000133",30
"227_611000000133",16
"227_711000000133",17
"227_811000000133",9
"228_111000000133",80
"228_211000000133",17
"228_311000000133",6
"228_411000000133",12
"228_511000000133",18
"228_611000000133",6
"228_711000000133",5
"228_811000000133",12
"229_111000000133",90
"229_211000000133",32
"229_311000000133",36
"229_411000000133",49
"229_511000000133",18
"229_611000000133",18
"229_711000000133",11
"229_811000000133",1
"230_111000000133",78
"230_211000000133",13
"230_311000000133",10
"230_411000000133",5
"230_511000000133",12
"230_611000000133",6
"230_711000000133",7
"230_811000000133",1
"231_111000000133",76
"231_211000000133",4
"231_311000000133",8
"231_411000000133",6
"231_511000000133",7
"231_611000000133",9
"231_711000000133",3
"231_811000000133",13
"232_111000000133",80
"232_211000000133",15
"232_311000000133",5
"232_411000000133",15
"232_511000000133",11
"232_611000000133",6
"232_711000000133",11
"232_811000000133",9
"239_111000000133",81
