"mrun","rbd_cc","preferencia_postulante"
1278,"12802_311000000111",1
1278,"12955_311000000133",2
1278,"12891_311000000133",3
1278,"31340_311000000133",4
1278,"12837_311000000133",5
1278,"317_311000000133",6
1278,"12970_311000000133",7
1278,"12868_311000000133",8
1278,"12963_311000000133",9
1278,"12977_311000000133",10
1278,"316_311000000133",11
1278,"313_311000000133",12
1278,"12878_311000000132",13
1329,"279_131000000133",1
1329,"286_131000000133",2
2314,"217_131000000133",1
2314,"12980_131000000133",2
2314,"12838_131000000133",3
2314,"12836_131000000133",4
4612,"342_331000000133",1
4612,"336_331000000131",2
7582,"279_131000000133",1
7582,"10968_131000000133",2
16058,"283_131000000133",1
16058,"286_131000000133",2
16058,"279_131000000133",3
16058,"280_131000000133",4
16058,"287_131000000133",5
16058,"285_131000000133",6
16058,"284_131000000133",7
16980,"10962_511000000131",1
16980,"12853_511000000133",2
16980,"12851_511000000133",3
16980,"256_511000000133",4
16980,"12838_511000000133",5
17818,"269_411000000133",1
17864,"317_411000000133",1
17864,"12945_411000000133",2
17864,"316_411000000133",3
19957,"12885_411000000133",1
19957,"12963_411000000133",2
19957,"365_411000000133",3
19957,"356_411000000133",4
19957,"12970_411000000133",5
24989,"367_131000000133",1
29121,"344_331000000131",1
29121,"12970_331000000133",2
29121,"12963_331000000133",3
29121,"12885_331000000133",4
29121,"12958_331000000133",5
29121,"287_331000000133",6
30348,"217_131000000133",1
30348,"10970_131000000133",2
30399,"335_131000000133",1
30399,"12800_131000000133",2
30399,"283_131000000133",3
30399,"12935_131000000133",4
30399,"280_131000000133",5
31433,"12853_131000000133",1
31433,"217_131000000133",2
31433,"12980_131000000133",3
32966,"283_131000000133",1
32966,"12830_131000000133",2
32966,"12935_131000000133",3
34985,"220_131000000133",1
34985,"12836_131000000133",2
34985,"10970_131000000133",3
34985,"20478_131000000133",4
38986,"211_131000000133",1
39758,"12891_611000000133",1
39758,"343_611000000131",2
42463,"329_231000000133",1
42463,"287_231000000133",2
42463,"341_231000000131",3
42463,"350_231000000131",4
44274,"279_131000000133",1
44274,"12943_131000000123",2
44274,"12830_131000000133",3
44274,"304_131000000133",4
44274,"342_131000000133",5
44274,"12958_131000000133",6
44274,"365_131000000133",7
44274,"31342_131000000133",8
47656,"287_711000000133",1
47656,"310_711000000133",2
47656,"294_711000000133",3
51390,"342_231000000133",1
51390,"12800_231000000133",2
52571,"200_131000000133",1
52571,"199_131000000133",2
52571,"208_131000000133",3
52599,"199_131000000133",1
52599,"200_131000000133",2
