"mrun_1","mrun_2"
7582,7990098
7582,25529777
17818,26173111
17864,2799945
39758,8157997
51390,26410578
64311,21059685
64311,26610655
66715,2384037
76638,26585549
84235,25733582
115243,1826872
124990,26560499
128869,10017611
133872,9213792
155719,18240445
162714,27024958
167786,3309795
170477,20370529
174722,9585201
178024,26805045
182794,20967091
190452,25880998
190452,26000334
201567,26093451
210487,26659210
231353,26340749
231659,26198896
237714,25696953
238246,24556877
241288,26206040
250028,25300566
254297,26134108
259917,25445149
265136,21378047
268597,5823873
268597,26792377
268597,27496258
273597,26014443
301465,26202256
308559,10676778
314409,26716462
317234,25917986
335827,6812187
353494,25206012
360343,22944571
361213,26277817
380316,27202293
402406,26414804
417310,8928452
424912,16007295
424912,25369776
424912,27632394
432017,4969547
436836,26578261
441024,26436961
446769,26903291
461712,7897213
469237,26174570
480952,15260222
480952,25694266
480952,26790450
481483,21726459
491631,14633110
505338,21250929
520405,1155803
533923,25662646
534813,26825636
539368,11771355
585615,20586794
592081,23187741
614763,15580797
626747,25236198
626747,26299904
630585,27111754
648593,13952519
665030,24521295
683981,14599064
690071,8526122
690071,26560192
692528,21093312
707352,26272450
709896,16564286
712216,7961688
715692,26136010
741359,7627799
762168,27035728
770164,26658552
790293,25971433
790293,26640783
800855,12390249
800855,22842238
800962,23653618
802123,12155964
803223,26810612
804549,25543188
804594,25394809
804889,26214136
809883,8084350
815546,17905005
833163,26830083
836090,26704463
838052,6874348
854749,26343474
855940,15667795
866464,14749529
871469,7022256
871469,19462559
895295,6585307
905016,4955120
911409,14860859
911409,25455938
918890,14026153
922295,27111991
940885,26560274
948473,26666876
957048,26410404
966952,17859592
970964,27113675
983524,27002796
1001514,26294969
1001707,2279995
1002542,26586743
1003265,8196296
1004442,922390
1009017,25197913
1022611,10359860
1025313,26821673
1041044,8817938
1046953,26215969
1049721,25160324
1054582,26580748
1056604,2915456
1082510,19143210
1086121,26873462
1105436,27636886
1114818,24710343
1123204,22948303
1136233,25565634
1136233,25772799
1150720,2108663
1156136,15520848
1156136,16135831
1161498,1023404
1172456,16282507
1172456,25286477
1172456,25667711
1177120,2364126
1177445,15534282
1196070,10929589
1208953,26284986
1248398,26294206
1258367,22303824
1271351,26635088
1274802,26511115
1278047,26012957
1286916,26450091
1289358,15259516
1295453,14597955
1307384,26346899
1310596,10541725
1313587,25252856
1326832,20923080
1333831,25721183
1351379,25434227
1356317,26000920
1382619,26301297
1387591,1248398
1387591,26294206
1399510,20130567
1399510,25357567
1413500,5992592
1416913,3844688
1418610,26302591
1426918,26586101
1431347,17037877
1442372,26757725
1449425,26843538
1468947,26412495
1474591,25449026
1488412,27636318
1488968,26563979
1495666,12673897
1495666,23941025
1511389,26207889
1522348,2220185
1522348,21140423
1528058,25280125
1530042,26442544
1531589,26718551
1548846,25572186
1550785,26048284
1559022,26031613
1565248,27388215
1586476,16203465
1586576,25650222
1596503,26827307
1612300,26926186
1613810,26409599
1622913,23908172
1624474,12686309
1641451,26661191
1649530,26223395
1653302,5204816
1668981,26650060
1680435,17689834
1681588,22860311
1704316,8821552
1709486,22869704
1716499,23301740
1729083,25372767
1742064,27056894
1742260,20418968
1785045,19557096
1788334,3188432
1791990,26937627
1798090,14270856
1798090,26588764
1804982,27629952
1805184,21972330
1808636,19252838
1808636,26708374
1841611,26714877
1854049,4612528
1862310,26655022
1862904,1495304
1867060,8449979
1872130,10926118
1872130,25992319
1872130,26649846
1884684,21707822
1898866,26319474
1904458,19625961
1904458,25222092
1904458,25952414
1911692,3514538
1911692,26770955
1921588,7239430
1921588,25428447
1925426,25363084
1925426,27627471
1926232,17317344
1949210,26646066
1950438,1700916
1956143,25690240
1967276,22594389
1987024,25949917
1990538,13628445
1990538,26732442
1994889,14349499
1998038,22257614
1999118,26685821
2004933,19027987
2014207,27632284
2019770,25670713
2023285,3178703
2023285,5969233
2023285,26771619
2036152,747578
2046787,26435477
2051699,26328442
2056921,21686517
2064107,27631794
2067157,12148952
2081870,8847975
2085348,26561224
2086708,10656682
2093293,12633200
2095209,26420297
2100056,26399596
2106208,20089516
2106208,25936665
2106257,20893398
2106794,26431403
2108097,27630595
2113172,26182849
2116472,27623706
2122591,26572732
2123114,26292743
2123253,8073652
2124077,27115094
2133245,7708273
2147036,26576060
2148958,26677421
2151330,614763
2151330,14628774
2151330,15580797
2154080,26655254
2156002,20021333
2156002,26010428
2157145,7700339
2157145,27629311
2163724,27636765
2171148,7098456
2181736,26404963
2187948,23185927
2191130,27367281
2191609,27621991
2191770,26774749
2199994,27021192
2220185,21140423
2221405,25992851
2228336,27575428
