"rbd_cc","vacantes"
"1_131000000131",200
"1_231000000131",29
"1_351052009131",4
"1_351052010131",17
"1_351052013131",21
"1_351053014131",20
"1_351053015131",15
"1_361061003131",54
"1_361064001131",25
"1_451052009131",18
"1_451052010131",18
"1_451052013131",16
"1_451053014131",3
"1_451053015131",18
"1_461061003131",9
"1_461064001131",12
"4_131000000133",350
"4_231000000133",10
"4_331000000133",8
"4_431000000133",2
"5_111000000133",25
"5_211000000133",7
"5_311000000133",5
"5_411000000133",1
"5_511000000133",3
"5_611000000133",0
"5_711000000133",1
"5_811000000133",1
"5_131000000133",92
"5_231000000133",23
"5_331000000133",19
"5_431000000133",8
"7_131000000133",341
"7_231000000133",76
"7_341041005133",8
"7_351053014133",6
"7_351053015133",10
"7_351058034133",0
"7_361061003133",1
"7_361063009133",5
"7_441041005133",4
"7_451053014133",4
"7_451053015133",13
"7_451058034133",0
"7_461061003133",2
"7_461063009133",9
"8_401000000133",35
"8_501000000133",18
"8_111000000133",16
"8_211000000133",12
"8_311000000133",18
"8_411000000133",8
"8_511000000133",9
"8_611000000133",6
"8_711000000133",9
"8_811000000133",6
"8_131000000133",142
"8_231000000133",84
"8_331000000133",37
"8_431000000133",54
"9_401000000133",112
"9_501000000133",37
"9_111000000133",51
"9_211000000133",13
"9_311000000133",8
"9_411000000133",18
"9_511000000133",17
"9_611000000133",21
"9_711000000133",18
"9_811000000133",13
"10_401000000113",25
"10_501000000113",10
"10_111000000113",25
"10_211000000113",26
"10_311000000113",20
"10_411000000113",18
"10_511000000113",15
"10_611000000113",25
"10_711000000113",15
"10_811000000113",14
"11_401000000133",35
"11_501000000133",13
"11_111000000133",14
"11_211000000133",7
"11_311000000133",6
"11_411000000133",13
"11_511000000133",9
"11_611000000133",7
"11_711000000133",10
"11_811000000133",11
"12_401000000133",30
"12_501000000133",12
"12_111000000133",10
"12_211000000133",10
"12_311000000133",2
"12_411000000133",2
"12_511000000133",36
"12_611000000133",5
"12_711000000133",2
"12_811000000133",3
"13_401000000133",30
"13_501000000133",15
"13_111000000133",23
"13_211000000133",8
"13_311000000133",12
"13_411000000133",5
"13_511000000133",13
"13_611000000133",6
"13_711000000133",7
"13_811000000133",5
"14_401000000133",35
"14_501000000133",9
"14_111000000133",3
"14_211000000133",3
"14_311000000133",3
"14_411000000133",0
"14_511000000133",2
"14_611000000133",0
"14_711000000133",2
"14_811000000133",6
"16_401000000133",30
"16_501000000133",4
"16_111000000133",7
"16_211000000133",9
"16_311000000133",4
"16_411000000133",6
"16_511000000133",9
"16_611000000133",4
"16_711000000133",5
"16_811000000133",3
"17_401000000133",30
"17_501000000133",21
"17_111000000133",13
"17_211000000133",18
"17_311000000133",15
"17_411000000133",9
"17_511000000133",15
"17_611000000133",10
"17_711000000133",12
"17_811000000133",3
"18_401000000133",35
"18_501000000133",26
"18_111000000133",17
"18_211000000133",13
"18_311000000133",5
"18_411000000133",1
"18_511000000133",41
"18_611000000133",34
"18_711000000133",22
"18_811000000133",29
"19_401000000133",30
"19_501000000133",7
"19_111000000133",14
"19_211000000133",12
"19_311000000133",10
"19_411000000133",10
"19_511000000133",15
"19_611000000133",11
"19_711000000133",6
"19_811000000133",8
"20_401000000133",60
"20_501000000133",37
"20_111000000133",33
"20_211000000133",18
"20_311000000133",26
"20_411000000133",12
"20_511000000133",18
"20_611000000133",10
"20_711000000133",15
"20_811000000133",9
"22_401000000133",75
"22_501000000133",44
"22_111000000133",24
"22_211000000133",24
"22_311000000133",22
"22_411000000133",14
"22_511000000133",14
"22_611000000133",18
"22_711000000133",13
"22_811000000133",6
"25_401000000133",40
"25_501000000133",11
"25_111000000133",29
"25_211000000133",14
"25_311000000133",4
"25_411000000133",7
"25_511000000133",7
"25_611000000133",22
"25_711000000133",2
"25_811000000133",10
"25_131000000133",24
"25_231000000133",12
"25_331000000133",12
"25_431000000133",22
"26_401000000133",22
"26_501000000133",9
"26_111000000133",12
"26_211000000133",4
"26_311000000133",9
"26_411000000133",3
"26_511000000133",12
"26_611000000133",6
"26_711000000133",4
"26_811000000133",5
"27_401000000133",20
"27_501000000133",7
"27_111000000133",20
"27_211000000133",15
"27_311000000133",8
"27_411000000133",2
"27_511000000133",3
"27_611000000133",1
"27_711000000133",4
"27_811000000133",3
"28_401000000133",30
"28_501000000133",1
"28_111000000133",37
"28_211000000133",8
"28_311000000133",9
"28_411000000133",3
"28_511000000133",2
"28_611000000133",6
"28_711000000133",3
"28_811000000133",8
"29_401000000133",50
"29_501000000133",13
"29_111000000133",20
"29_211000000133",12
"29_311000000133",19
"29_411000000133",8
"29_511000000133",21
"29_611000000133",9
"29_711000000133",8
"29_811000000133",4
"31_401000000133",40
"31_501000000133",9
"31_111000000133",8
"31_211000000133",0
"31_311000000133",2
"31_411000000133",1
"31_511000000133",2
"31_611000000133",6
"31_711000000133",3
"31_811000000133",5
"32_401000000133",60
"32_501000000133",3
"32_111000000133",3
"32_211000000133",0
"32_311000000133",7
"32_411000000133",5
"32_511000000133",7
"32_611000000133",3
"32_711000000133",7
"32_811000000133",1
"32_131000000133",18
"32_231000000133",10
"32_371072007133",19
"32_471072007133",1
"33_401000000133",20
"33_501000000133",3
"33_111000000133",1
"33_211000000133",0
"33_311000000133",4
"33_411000000133",0
"33_511000000133",0
"33_611000000133",4
"33_711000000133",0
"33_811000000133",0
"35_401000000133",13
"35_501000000133",16
"35_111000000133",5
"35_211000000133",4
"35_311000000133",14
"35_411000000133",3
"35_511000000133",2
"35_611000000133",0
"35_711000000133",0
"36_401000000133",30
"36_501000000133",10
"36_111000000133",33
"36_211000000133",25
"36_311000000133",1
"36_411000000133",0
"36_511000000133",12
"36_611000000133",4
"36_711000000133",0
"36_811000000133",1
"38_401000000133",35
"38_501000000133",11
"38_111000000133",0
"38_211000000133",7
"38_311000000133",5
"38_411000000133",7
"38_511000000133",5
"38_611000000133",4
"38_711000000133",7
"38_811000000133",6
"39_501000000133",10
"39_111000000133",1
"39_211000000133",0
"39_311000000133",2
"39_411000000133",2
"39_511000000133",2
"39_611000000133",1
"41_111000000133",10
"41_211000000133",0
"41_311000000133",1
"41_411000000133",0
"41_511000000133",1
"41_611000000133",0
"42_111000000133",5
"42_211000000133",2
"42_311000000133",1
"42_411000000133",0
"42_511000000133",3
"42_611000000133",3
"45_401000000113",40
"45_501000000113",15
"45_111000000113",48
"45_211000000113",25
"45_311000000113",12
"45_411000000113",11
"45_511000000113",13
"45_611000000113",25
"45_711000000113",16
"45_811000000113",19
"45_131000000113",32
"45_231000000113",14
"45_331000000113",17
