"mrun","rbd_cc","preferencia_postulante"
694,"4_131000000133",1
694,"52_131000000133",2
694,"12716_131000000133",3
9945,"4_231000000133",1
9945,"52_231000000133",2
14588,"52_311000000133",1
14588,"30001_311000000133",2
14588,"30002_311000000132",3
15024,"9_411000000133",1
15024,"10906_411000000133",2
15024,"30005_411000000133",3
15024,"12547_411000000133",4
19391,"10911_131000000133",1
19391,"4_131000000133",2
19391,"12610_131000000133",3
19391,"7_131000000133",4
20647,"5_711000000133",1
20647,"27_711000000133",2
47127,"12547_231000000133",1
47127,"10906_231000000133",2
47127,"10915_231000000133",3
47127,"60_231000000133",4
47127,"8_231000000133",5
58985,"56_711000000133",1
58985,"10892_711000000233",2
58985,"30005_711000000133",3
62799,"10911_131000000133",1
62799,"1_131000000131",2
62799,"7_131000000133",3
63208,"33_711000000133",1
63208,"25_711000000133",2
63208,"12658_711000000133",3
78123,"30001_431000000133",1
78123,"4_431000000133",2
78123,"60_431000000133",3
78123,"56_431000000133",4
78583,"4_131000000133",1
78583,"5_131000000133",2
78583,"8_131000000133",3
81651,"10911_461064008133",1
81651,"12716_461064008133",2
81651,"7_461063009133",3
82672,"12713_131000000133",1
82672,"4_131000000133",2
83373,"52_231000000133",1
93301,"50_511000000133",1
93301,"40395_511000000133",2
108673,"50_231000000133",1
108673,"10915_231000000133",2
108909,"16_711000000133",1
108909,"30001_711000000133",2
108909,"12539_711000000133",3
116814,"4_131000000133",1
116814,"60_131000000133",2
123715,"12720_511000000133",1
123715,"45_511000000113",2
127138,"56_711000000133",1
127138,"30001_711000000133",2
127138,"9_711000000133",3
128511,"50_511000000133",1
128511,"10892_511000000233",2
128511,"52_511000000133",3
135640,"52_611000000133",1
135640,"12547_611000000133",2
152248,"10892_231000000133",1
152248,"56_231000000133",2
152248,"30001_231000000133",3
156423,"7_131000000133",1
156423,"1_131000000131",2
156592,"50_511000000133",1
156592,"10915_511000000133",2
156592,"10893_511000000131",3
162714,"10911_131000000133",1
162714,"25_131000000133",2
162714,"12712_131000000133",3
164026,"12716_231000000133",1
164026,"12547_231000000133",2
164026,"10915_231000000133",3
170955,"4_331000000133",1
170955,"5_331000000133",2
170955,"10892_331000000133",3
170955,"10911_361064008133",4
170955,"12630_351058034133",5
172743,"4_131000000133",1
172743,"10892_131000000133",2
181608,"10892_711000000233",1
181608,"67_711000000131",2
189388,"4_131000000133",1
189388,"7_131000000133",2
189388,"52_131000000133",3
189388,"10911_131000000133",4
189667,"56_411000000133",1
194623,"10915_131000000133",1
194623,"60_131000000133",2
194623,"4_131000000133",3
198953,"10915_811000000133",1
198953,"12570_811000000133",2
212373,"10915_331000000133",1
212373,"12547_341041005133",2
212373,"50_331000000133",3
212373,"60_331000000133",4
212373,"32_371072007133",5
215641,"12501_811000000133",1
215641,"40230_811000000133",2
215641,"19_811000000133",3
215911,"12716_131000000133",1
215911,"10915_131000000133",2
215911,"60_131000000133",3
219943,"38_711000000133",1
219943,"32_711000000133",2
219943,"10915_711000000133",3
223747,"12716_131000000133",1
223747,"7_131000000133",2
223747,"52_131000000133",3
223885,"56_131000000133",1
223885,"4_131000000133",2
223885,"67_131000000131",3
234323,"56_131000000133",1
235599,"12630_711000000133",1
237640,"4_131000000133",1
237640,"30001_131000000133",2
237640,"5_131000000133",3
237640,"10915_131000000133",4
238674,"56_131000000133",1
238674,"10892_131000000133",2
238674,"10915_131000000133",3
238674,"50_131000000133",4
245241,"8_131000000133",1
245241,"12547_131000000133",2
247392,"56_331000000133",1
247392,"52_331000000133",2
247392,"52_381081004133",3
247392,"52_351058034133",4
249589,"10892_231000000133",1
249589,"4_231000000133",2
249589,"52_231000000133",3
249589,"12712_231000000133",4
254322,"12716_131000000133",1
254322,"12547_131000000133",2
254322,"10892_131000000133",3
263794,"1_131000000131",1
263794,"7_131000000133",2
265053,"12713_131000000133",1
265053,"4_131000000133",2
265053,"10892_131000000133",3
265053,"12547_131000000133",4
265053,"10915_131000000133",5
265053,"60_131000000133",6
269920,"4_131000000133",1
269920,"12547_131000000133",2
269920,"32_131000000133",3
269920,"52_131000000133",4
269920,"5_131000000133",5
271970,"10915_331000000133",1
271970,"12720_331000000133",2
271970,"10906_331000000133",3
271970,"60_331000000133",4
271970,"45_331000000113",5
273508,"7_131000000133",1
273508,"12547_131000000133",2
273508,"12610_131000000133",3
282629,"12659_411000000133",1
282629,"12547_411000000133",2
282629,"9_411000000133",3
284617,"56_511000000133",1
284617,"45_511000000113",2
286609,"4_231000000133",1
286609,"10892_231000000133",2
286609,"12547_231000000133",3
286609,"60_231000000133",4
286609,"12712_231000000133",5
294773,"4_231000000133",1
294773,"56_231000000133",2
294773,"10915_231000000133",3
294773,"10906_231000000133",4
294773,"10892_231000000133",5
