"mrun_1","mrun_2"
47127,13989543
83373,26409305
83373,26421898
127138,25948290
128511,27012445
152248,16271563
162714,27024958
189667,26558988
212373,6406232
212373,26564253
234323,13174198
235599,25942894
245241,26684393
247392,14474542
247392,25944885
254322,20496368
273508,3866146
284617,6361698
286609,16409452
286609,26399291
318469,25249906
334062,26044345
372168,25543402
378187,26730070
379989,25161745
388790,25220109
392994,26663286
400168,26107615
466206,25399790
489087,27005061
490848,25303000
527310,20272297
527310,25814076
527310,27349490
556742,1823242
562098,23260202
563692,23253273
578491,25908733
630361,20810504
665435,26425153
676983,2821596
676983,20410180
676983,26282048
804549,25543188
818162,9248442
839093,19048194
839093,26397492
841108,25726106
841108,25879640
841108,26219981
854749,26343474
857038,25396126
857038,26633765
891051,26275292
919593,25996838
932010,26587680
932198,25909489
937376,27245504
1051452,26041995
1052839,18203130
1052839,26194530
1052839,26597158
1106673,26417407
1127372,12117194
1127372,26155177
1144473,26398499
1176564,25663399
1182322,26031264
1207544,26592430
1207910,1569845
1207910,15743003
1229901,26274608
1264820,21495537
1351980,14602703
1385437,26172383
1385437,26187389
1459906,25251234
1463600,25959576
1467513,9478736
1519940,17890147
1519940,27113887
1598029,25668373
1601643,25849306
1605956,26792892
1622107,26118669
1622107,26787837
1682734,26020877
1683055,19583682
1728898,15904799
1728898,17918428
1731088,26576522
1756132,998240
1808669,26436669
1832139,23398569
1838331,10278974
1887399,26708811
1904458,19625961
1904458,25222092
1904458,25952414
1944405,21568241
2071137,27244447
2072615,26178442
2083250,25956403
2083250,26188436
2083250,26511222
2100534,25543165
2123607,27342377
2139121,18224846
2139121,26192614
2146964,25777630
2148958,26677421
2190744,7174259
2190744,26400587
2234868,15420786
2403904,26126723
2417570,27047870
2495847,25481718
2513052,26880184
2517527,15033168
2530382,1267755
2536683,25931083
2573249,25252050
2573249,26615247
2576753,26179959
2615616,25910559
2651656,25669313
2665309,12442812
2675689,26415273
2683396,26511842
2687182,22991067
2803544,973846
2821596,20410180
2821596,26282048
2834782,23437813
2862775,26001141
2951068,26406099
2976165,27040411
2977627,26160018
3075280,8989007
3086486,18664011
3087089,21980243
3128900,815881
3145639,27020169
3153597,26816346
3169729,26406205
3170981,23062605
3261864,8143328
3267143,25331668
3267600,26877241
3269834,26031987
3275946,25453628
3284865,25880474
3300796,25650590
3307274,26798842
3326033,27636939
3341748,27035732
3365384,26274917
3370753,11297357
3384466,11457901
3384466,26573072
3406720,15628980
3430216,26919252
3451228,1181393
3475198,25378439
3502795,25543004
3521414,5131374
3534474,14454886
3544681,4748035
3565640,26018493
3581277,11255033
3581277,25174949
3584605,26134280
3586570,26588887
3656391,25952670
3703095,23982379
3797359,2573249
3797359,25252050
3797359,26615247
3828856,26063264
3917924,24934157
3929144,10121794
3936165,26225292
3941497,26558058
3941497,26701620
3942944,1533788
3944925,25929323
3951676,26062416
3953450,26601997
3987026,25857186
3989577,26543650
3995456,17834852
4042652,25682955
4078489,26042445
4099292,9680932
4150824,26738051
4152828,25651974
4152828,27106765
4196326,18642460
4223322,26134321
4237623,25645892
4266660,26435207
4269797,13041011
4275877,26262993
4290969,26175593
4291277,24455462
4291724,25925261
4313230,8700710
4315118,26138448
4356528,26010324
4356528,26252739
4413535,5399111
4413535,23135006
4413535,26826458
4468214,25210011
4479082,26699642
4547074,13428389
4570654,25922073
4570654,26520073
4571674,11800692
4606495,27628650
4615291,2513052
4615291,26880184
4630539,26680996
4677620,26194280
4710771,26018708
4744985,26319431
4760753,26201250
4795686,937376
4795686,27245504
4818207,26355129
4849430,26364683
4854143,20024309
4950736,26382302
4999876,8156960
5005918,9288780
5016853,25719953
5128033,27117044
5174085,26729977
5199426,6644109
5199426,25678223
5257087,12608859
5257087,26160251
5261297,25440115
5267119,27040992
5280432,26005063
5347131,25698457
5373240,26440921
5395629,26185899
5399111,23135006
5399111,26826458
5443720,14873999
5462035,25344794
5489262,26312386
5489262,26941779
5500745,21094027
5501854,26417661
5501942,21925881
5544959,6068553
5549682,6249432
5553635,5019202
5578751,26037060
5581435,27028462
5623539,26225269
5641255,4772736
5649307,7473894
5658139,3867695
5777427,477078
5817694,26168492
5858640,26223987
5859663,24449707
5869618,19569816
5869618,26375963
5895845,18915203
5899380,3475198
5899380,25378439
5952016,26087864
5956048,26507693
5991202,7485321
5992584,25915840
5992584,26515389
6008785,25264052
6008785,26088262
6026934,25719934
6026934,26168243
6030597,27056180
6063901,27344734
6070446,26865603
6070493,26818276
6139551,3987026
6145536,19332136
6145536,19837250
6145536,23137425
6172655,26622124
6221456,26316145
6268479,26868188
6269095,21464324
6269487,7507461
6269487,15583448
6269487,26523995
6273920,6172655
6273920,26622124
6283323,26499736
6388338,16997241
6391349,26113800
6406232,26564253
6406270,26325854
6425944,18759785
6425944,26798383
6444364,26217055
6467993,18455858
6492452,25536499
6606445,3779199
6606445,7175871
6609805,21957926
6644109,25678223
6673252,25945665
6687765,26412920
6729094,25588126
6750502,7998709
6750502,27400800
6761069,16273815
6761069,25586967
6862563,14800676
6884799,26937648
6901863,12776328
6902577,26770463
6913144,25365192
6913144,27227252
6913524,13829277
6913524,26415444
6935786,25682751
6935786,26382970
6948738,26216061
6948738,27050400
6979017,23650720
7029051,26428490
7030302,3927539
7047696,3874618
7140647,26381850
7149029,26691041
7174259,26400587
7175871,3779199
7221297,25349295
7231237,25564731
7244948,2673977
7246679,26274988
7250408,26286710
7265701,26565169
7275211,6492452
7275211,25536499
7289749,15557696
7346234,5643877
7372047,16909718
7392798,14341769
7392798,25194014
7465025,23704628
7477526,27002609
7507461,26523995
7513023,26043312
7543359,20217963
7549687,18301626
7565891,9293094
7572846,4175429
7572846,15668819
7572846,21481676
7617334,25271971
7652035,4141952
7713646,17509131
7713646,26211783
7728574,27034005
7749649,16636307
7774256,25658633
7787967,26330186
7809281,27627955
7829403,25931509
7843526,11776107
7858317,2148958
7858317,26677421
7865215,9774052
7933093,25548856
7961925,17272161
7989926,25932409
7998709,27400800
8015419,2977627
8015419,26160018
8063304,22900971
8085844,22539949
8085844,25544453
8087843,25452807
8094300,26219365
8117870,15930257
8208684,25725620
8233440,26148618
8314279,25667488
8316441,23518066
8407607,3927539
8407607,7030302
8422629,14601118
8433238,20502674
8433793,26610195
8507014,26633739
8545123,26384798
8564283,25957026
8605224,27162153
8618192,25726794
8637637,26680253
8645462,24824098
8704250,25846053
8712024,15993535
8732027,26742050
8750452,25685593
8796803,18473286
8797269,5452121
8809306,25698529
8924128,10418163
8928270,25995271
8937741,12070233
8944535,14437229
9017810,7668031
9053880,25256870
9109723,25933899
9128310,23547518
9164904,16736222
9206352,26969496
9211282,26997287
9217036,26689424
9232524,12166780
9248600,26512304
9305729,24245647
9309761,19544720
9323178,26184355
9339584,16554169
9417823,26827619
9448947,25427361
9453543,9349515
9476941,25936905
9606606,9670526
9633615,25540069
9651699,9986236
9719412,26105823
9773009,25391711
9773009,26040951
9773333,26349425
9774052,26947721
9814225,15806456
9833008,17351977
9833433,9548805
9973737,18278189
9973737,27413767
9987664,21239057
9993356,7391877
10018079,10678384
10035513,25309921
10043681,15599025
10044995,5261297
10044995,20123712
10044995,25440115
10110635,598607
10163571,3221215
10165781,25426539
10182545,27034156
10194404,27040411
10238736,26433561
10250032,19840636
10250032,26061508
10250032,26796095
10250032,27624814
10262906,25925081
