"rbd_cc","vacantes"
"379_131000000133",217
"379_231000000133",36
"379_331000000133",13
"379_341041005133",1
"379_351052013133",6
"379_431000000133",9
"379_441041005133",2
"379_451052013133",6
"380_401000000131",30
"380_501000000131",9
"380_111000000133",11
"380_211000000133",2
"380_311000000133",7
"380_411000000133",5
"380_511000000133",18
"380_611000000133",4
"380_711000000133",3
"380_811000000133",2
"381_501000000131",25
"381_111000000133",13
"381_211000000133",11
"381_311000000133",13
"381_411000000133",13
"381_511000000133",3
"381_611000000133",13
"381_711000000133",9
"381_811000000133",3
"382_401000000131",30
"382_501000000131",1
"382_111000000133",6
"382_211000000133",4
"382_311000000133",2
"382_411000000133",3
"382_511000000133",4
"382_611000000133",3
"382_711000000133",1
"382_811000000133",9
"384_131000000131",155
"384_231000000131",47
"384_331000000131",8
"384_351054018131",11
"384_351054019131",4
"384_431000000131",10
"384_451054018131",30
"384_451054019131",6
"386_401000000131",35
"386_401000000132",35
"386_501000000131",9
"386_501000000132",13
"386_111000000131",16
"386_211000000131",25
"386_311000000131",76
"386_411000000131",74
"386_511000000131",73
"386_611000000131",74
"386_711000000131",66
"386_811000000131",17
"387_111000000133",10
"387_211000000133",3
"387_311000000133",6
"387_411000000133",2
"387_511000000133",1
"387_611000000133",3
"387_711000000133",1
"387_811000000133",0
"390_401000000131",70
"390_501000000133",66
"390_111000000133",90
"390_211000000133",72
"390_311000000133",51
"390_411000000133",52
"390_511000000133",56
"390_611000000133",41
"392_711000000133",114
"392_811000000133",17
"392_131000000133",24
"392_231000000133",39
"392_331000000133",11
"392_431000000133",4
"396_131000000133",180
"396_231000000133",28
"396_341041002133",3
"396_341041005133",24
"396_351058034133",2
"396_441041002133",6
"396_441041005133",5
"396_451058034133",4
"399_131000000133",342
"399_231000000133",63
"399_331000000133",8
"399_351051003133",14
"399_351051009133",5
"399_351052009133",5
"399_361063009133",7
"399_361064001133",15
"399_431000000133",6
"399_451051003133",4
"399_451051009133",4
"399_451052009133",4
"399_461063009133",4
"399_461064001133",7
"400_711000000133",165
"400_811000000133",7
"400_131000000133",33
"400_231000000133",24
"400_331000000133",28
"400_431000000133",8
"401_401000000132",90
"401_501000000131",5
"401_111000000131",10
"401_211000000133",7
"401_311000000133",10
"401_411000000133",1
"401_511000000133",2
"401_611000000133",4
"401_711000000133",7
"401_811000000133",8
"403_401000000132",64
"403_501000000131",64
"403_111000000131",79
"403_211000000131",61
"403_311000000131",42
"403_411000000131",42
"403_511000000131",48
"403_611000000131",38
"403_711000000131",48
"403_811000000131",44
"405_401000000131",30
"405_401000000132",30
"405_501000000133",31
"405_111000000133",57
"405_211000000133",26
"405_311000000133",5
"405_411000000133",9
"405_511000000133",19
"405_611000000133",13
"405_711000000133",34
"405_811000000133",13
"406_401000000131",50
"406_501000000131",3
"406_111000000131",42
"406_211000000131",19
"406_311000000133",26
"406_411000000133",21
"406_511000000133",25
"406_611000000133",20
"406_711000000133",24
"406_811000000133",24
"407_401000000132",25
"407_401000000133",25
"407_501000000131",9
"407_501000000133",10
"407_111000000133",32
"407_211000000133",25
"407_311000000133",20
"407_411000000133",20
"407_511000000133",29
"407_611000000133",38
"407_711000000133",13
"407_811000000133",24
"408_401000000132",84
"408_501000000131",23
"408_111000000132",33
"408_211000000131",8
"408_311000000133",7
"408_411000000133",13
"408_511000000133",12
"408_611000000133",12
"408_711000000133",14
"408_811000000133",9
"410_401000000132",72
"410_501000000131",23
"410_111000000131",27
"410_211000000131",6
"410_311000000133",14
"410_411000000133",13
"410_511000000133",18
"410_611000000133",11
"410_711000000133",9
"410_811000000133",10
"411_401000000133",60
"411_501000000133",20
"411_111000000131",36
"411_211000000131",9
"411_311000000133",18
"411_411000000133",8
"411_511000000133",13
"411_611000000133",8
"411_711000000133",15
"411_811000000133",29
"413_401000000133",22
"413_501000000133",12
"413_111000000133",12
"413_211000000133",12
"413_311000000133",9
"413_411000000133",16
"413_511000000133",17
"413_611000000133",11
"413_711000000133",8
"413_811000000133",13
"416_401000000132",56
"416_501000000131",37
"416_111000000131",19
"416_211000000131",9
"416_311000000133",2
"416_411000000133",2
"416_511000000133",5
"416_611000000133",4
"416_711000000133",10
"416_811000000133",8
"417_401000000132",28
"417_501000000131",28
"417_501000000132",28
"417_111000000133",19
"417_211000000133",13
"417_311000000133",9
"417_411000000133",13
"417_511000000133",12
"417_611000000133",10
"417_711000000133",23
"417_811000000133",26
"418_401000000132",90
"418_501000000131",37
"418_111000000132",21
"418_211000000131",7
"418_311000000133",8
"418_411000000133",10
"418_511000000133",13
"418_611000000133",8
"418_611000000233",6
"418_711000000133",19
"418_711000000233",21
"418_811000000133",8
"418_811000000233",10
"419_401000000133",64
"419_501000000133",24
"419_111000000133",41
"419_211000000133",27
"419_311000000133",29
"419_411000000133",29
"419_511000000133",28
"419_611000000133",9
"419_711000000133",21
"419_811000000133",44
"420_401000000133",120
"420_501000000133",33
"420_111000000133",53
"420_211000000133",39
"420_311000000133",27
"420_411000000133",32
"420_511000000133",29
"420_611000000133",18
"420_711000000133",11
"420_811000000133",0
"420_131000000133",2
"420_231000000133",32
"420_331000000133",3
"420_351052013133",5
"420_351054020133",1
"420_361064001133",2
"420_431000000133",4
"420_451052013133",0
"420_451054020133",5
"420_461064001133",7
"421_401000000132",90
"421_501000000131",23
"421_111000000131",25
"421_211000000131",10
"421_311000000133",11
"421_411000000133",12
"421_511000000133",14
"421_611000000133",8
"421_711000000133",32
"421_811000000133",16
"423_401000000133",32
"423_501000000133",1
"423_111000000133",8
"423_211000000133",1
"423_311000000133",3
"423_411000000133",3
"423_511000000133",5
"423_611000000133",3
"423_711000000133",4
"423_811000000133",3
"427_401000000132",42
"427_501000000131",9
"427_111000000133",2
"427_211000000133",5
"427_311000000133",6
"427_411000000133",4
"427_511000000133",2
"427_611000000133",4
"427_711000000133",7
"427_811000000133",9
"429_401000000231",75
"429_401000000232",75
"429_501000000231",0
"429_501000000232",0
"429_111000000233",11
"429_211000000133",4
"429_311000000133",3
"429_411000000133",3
"429_511000000133",2
"429_611000000133",8
"429_711000000133",9
"429_811000000133",3
"429_131000000133",5
"429_231000000133",3
"429_331000000133",8
"429_431000000133",6
"430_401000000111",70
"430_501000000111",42
"430_111000000113",36
"430_211000000113",13
"430_311000000113",15
"430_411000000113",15
"430_511000000113",17
"430_611000000113",23
"430_711000000113",28
"430_811000000113",8
"430_131000000113",42
"430_231000000113",25
"430_341041005113",5
"430_361064001113",17
"430_431000000113",10
"430_441041005113",1
"430_461064001113",5
"431_401000000111",64
"431_501000000111",36
"431_111000000111",44
"431_211000000111",48
"431_311000000113",31
"431_411000000113",32
"431_511000000113",23
"431_611000000113",22
"431_711000000113",28
"431_811000000113",42
