"mrun","rbd_cc","preferencia_postulante"
3316,"420_131000000133",1
3316,"400_131000000133",2
3316,"396_131000000133",3
3478,"13202_131000000133",1
3478,"479_131000000133",2
3478,"478_131000000133",3
3478,"448_131000000133",4
8351,"13185_131000000133",1
8351,"448_131000000133",2
16650,"489_411000000133",1
16650,"492_411000000132",2
16718,"13178_231000000133",1
16718,"379_231000000133",2
30874,"13202_711000000133",1
30874,"478_711000000133",2
30874,"479_711000000233",3
30874,"453_711000000133",4
33955,"400_711000000133",1
33955,"429_711000000133",2
33955,"421_711000000133",3
38139,"13146_351052010123",1
38139,"13168_351052013133",2
38139,"400_331000000133",3
38745,"437_131000000133",1
38745,"13146_131000000123",2
38745,"13145_131000000133",3
38745,"13156_131000000133",4
41683,"13177_511000000133",1
46728,"479_131000000133",1
46728,"13202_131000000133",2
46728,"448_131000000133",3
57384,"433_131000000131",1
57384,"13156_131000000133",2
57384,"13188_131000000133",3
57384,"400_131000000133",4
57738,"433_231000000131",1
57738,"429_231000000133",2
57738,"13112_231000000233",3
57738,"13188_231000000133",4
57738,"399_231000000133",5
58833,"13112_711000000233",1
58833,"13188_711000000133",2
58833,"417_711000000133",3
62067,"13112_611000000133",1
62067,"13188_611000000133",2
62067,"40184_611000000133",3
62067,"433_611000000131",4
62067,"420_611000000133",5
65106,"429_131000000133",1
65106,"433_131000000131",2
65106,"13112_131000000233",3
70020,"396_131000000133",1
70020,"433_131000000131",2
70020,"400_131000000133",3
70020,"437_131000000133",4
72357,"440_711000000133",1
72357,"13103_711000000133",2
72357,"13177_711000000133",3
74182,"478_511000000133",1
74182,"452_511000000133",2
74182,"464_511000000133",3
77847,"40184_511000000133",1
77847,"419_511000000133",2
84235,"13202_711000000133",1
84235,"464_711000000133",2
89719,"420_231000000133",1
89719,"13188_231000000133",2
89719,"13112_231000000233",3
89719,"429_231000000133",4
89719,"13146_231000000123",5
89719,"437_231000000133",6
90855,"13112_131000000233",1
90855,"13188_131000000133",2
90855,"13156_131000000133",3
94346,"478_411000000133",1
94346,"479_411000000233",2
96511,"479_131000000133",1
96511,"13202_131000000133",2
96511,"478_131000000133",3
97559,"400_131000000133",1
97559,"13145_131000000133",2
97559,"13146_131000000123",3
98546,"429_611000000133",1
98546,"13188_611000000133",2
98546,"13112_611000000133",3
98546,"417_611000000133",4
98546,"434_611000000131",5
98546,"420_611000000133",6
109150,"13112_411000000133",1
109150,"13188_411000000133",2
109150,"429_411000000133",3
109937,"478_711000000133",1
109937,"479_711000000233",2
109937,"13202_711000000133",3
112700,"479_131000000133",1
112700,"478_131000000133",2
112700,"13202_131000000133",3
119402,"478_511000000133",1
119402,"479_511000000233",2
119402,"13121_511000000133",3
127919,"11038_131000000133",1
129384,"400_231000000133",1
129384,"433_231000000131",2
129384,"13156_231000000133",3
129384,"13146_231000000123",4
143811,"400_811000000133",1
143811,"13156_811000000133",2
147108,"13112_511000000133",1
147108,"429_511000000133",2
147108,"421_511000000133",3
150170,"437_131000000133",1
150170,"396_131000000133",2
150170,"399_131000000133",3
150170,"430_131000000113",4
150170,"13156_131000000133",5
169648,"400_811000000133",1
169648,"429_811000000133",2
169648,"13154_811000000131",3
169648,"410_811000000133",4
172395,"13202_811000000133",1
172395,"453_811000000133",2
172421,"433_411000000131",1
172421,"417_411000000133",2
172421,"429_411000000133",3
172421,"13163_411000000133",4
175169,"379_131000000133",1
175169,"13178_131000000133",2
176060,"429_411000000133",1
176060,"13112_411000000133",2
176060,"13188_411000000133",3
176060,"418_411000000133",4
176060,"433_411000000131",5
178334,"396_131000000133",1
178334,"430_131000000113",2
179841,"479_131000000133",1
179841,"13202_131000000133",2
179841,"478_131000000133",3
179841,"11038_131000000133",4
180103,"437_131000000133",1
180103,"429_131000000133",2
184077,"13202_231000000133",1
184077,"479_231000000133",2
184077,"478_231000000133",3
184077,"13185_231000000133",4
188886,"13202_131000000133",1
188886,"479_131000000133",2
188886,"448_131000000133",3
188886,"449_131000000133",4
191366,"400_131000000133",1
191366,"429_131000000133",2
191366,"437_131000000133",3
191366,"433_131000000131",4
196305,"479_411000000233",1
196305,"478_411000000133",2
196305,"453_411000000133",3
196305,"452_411000000133",4
203399,"437_131000000133",1
203399,"13168_131000000133",2
203399,"396_131000000133",3
203399,"400_131000000133",4
203399,"399_131000000133",5
203399,"420_131000000133",6
203399,"13145_131000000133",7
207466,"437_231000000133",1
207466,"429_231000000133",2
207466,"400_231000000133",3
213256,"421_511000000133",1
213256,"417_511000000133",2
213256,"433_511000000131",3
213256,"401_511000000133",4
213256,"40184_511000000133",5
217676,"440_711000000133",1
217676,"13163_711000000133",2
218901,"13202_711000000133",1
218901,"454_711000000133",2
222315,"429_231000000133",1
222315,"13146_231000000123",2
226509,"13112_611000000133",1
