"mrun_1","mrun_2"
3316,9739178
38139,26738331
46728,5441783
57738,12062694
72357,25526279
84235,25733582
89719,26504751
89719,26507521
90855,14768091
94346,26206655
98546,26145123
109150,26188584
143811,26823574
147108,26499823
176060,25177107
180103,26875090
201974,26020585
203399,27623978
213256,27160708
242777,5232447
297251,11588768
317580,25916053
323943,532243
327790,27113490
361550,4331478
361550,27098935
383259,25278517
396853,13730329
444013,635082
446739,26523016
473065,25421115
500508,326143
509472,15132294
536646,27110374
554384,26646397
577111,27635389
606681,26564550
615107,9509323
618432,3323962
618432,11261868
647570,25716740
650373,26295130
672034,25721936
693527,25319744
712414,6789438
746727,23753537
746727,25389994
752214,9409416
752214,25347206
762396,26560594
863429,13164625
882811,25776891
892177,26776127
904934,18352041
911106,25771531
929544,23531638
929544,25266120
983779,18787175
983779,25343491
983779,26732845
997403,3847909
997403,25942463
1023353,20225444
1034871,26124666
1041590,26191617
1055418,21546971
1058659,21584630
1061342,25410209
1065479,27627295
1072930,2506697
1072930,14822569
1080540,16459619
1092933,3657515
1095959,10709710
1098535,26044488
1111476,26743380
1131808,25587292
1132851,25430155
1132851,26799832
1174295,26416426
1192900,26552729
1194182,26884983
1196070,10929589
1231156,27377883
1267229,26588786
1269569,26670270
1295453,14597955
1299658,26323474
1299658,26603856
1321495,26214331
1325856,27634608
1329986,25900166
1330209,26423604
1339819,650373
1339819,26295130
1356584,16408346
1357106,25901979
1357433,26868852
1395994,18590515
1416189,24764535
1418534,26690258
1428459,16287805
1467400,21334966
1467400,24576023
1475054,27512772
1485643,26805251
1525285,26601621
1562891,4061052
1562891,19252927
1571509,16234129
1571509,26708693
1586277,3635918
1586277,17318793
1595888,21869887
1602084,11671280
1616170,26796356
1626660,18161015
1627854,25568506
1644563,16711336
1687708,26362332
1690624,10664459
1690624,27346105
1696668,9072607
1714709,26745659
1715985,25201241
1718323,25939554
1723030,25730045
1723030,26213190
1747251,25775568
1788477,10477510
1788477,25175835
1790249,26605926
1804470,27101253
1804982,27629952
1829794,27050627
1835375,26175358
1841612,12731791
1868052,7471601
1890285,27188688
1899591,25425021
1933205,26752813
1961929,26338536
1970535,26836586
1981476,19907652
1981476,26172016
2046753,24098987
2046753,26208309
2049762,26200734
2067010,14448993
2083364,25932789
2089265,6012532
2098077,26692644
2100455,14384058
2119906,25723472
2121590,6032002
2130644,15923164
2164846,9540990
2218185,19207082
2222236,27389086
2249946,8662763
2259373,17134215
2262435,15936295
2268589,8480331
2269810,25693565
2271643,26420000
2278882,27209237
2294480,26549497
2318911,11601121
2337239,25979253
2337239,26715600
2345889,26804475
2359423,15643990
2369033,1192900
2369033,26552729
2375332,26629573
2393790,22363390
2407388,26364737
2440274,26885954
2448231,23589949
2452950,7797514
2453887,12840403
2453887,25563349
2462912,12051965
2463654,24317292
2463654,27019221
2471331,5114439
2471331,7299390
2489069,26649473
2492493,26898260
2493486,26142306
2493538,14482172
2502634,1198131
2502634,16808388
2506697,14822569
2527203,16736909
2534113,16940103
2554517,9466593
2604002,2249946
2604002,8662763
2611536,8275378
2633962,26415383
2663351,18999020
2663351,27622816
2686287,26325121
2689130,25325610
2762493,19414853
2818820,7823021
2827927,27633340
2829268,26824820
2831739,9801002
2851791,25201401
2865656,12354921
2906732,16975386
2915821,6605390
2918465,27163256
2926969,23511985
2928674,8117283
2935804,9073272
2935804,12709254
2935804,26169004
2946682,27622196
2965723,12513939
2965723,25679037
2966872,25449786
2971391,26403753
2971391,27052044
2972415,9909057
3006945,25779845
3016526,26720826
3036612,26382744
3055565,18845227
3055565,27025978
3057527,26113335
3113178,5641115
3128900,815881
3132397,26401586
3136215,23598084
3142310,26281502
3160871,19992057
3172181,27622196
3179899,10690343
3186266,6289612
3196605,22355116
3204997,2448231
3204997,23589949
3205893,23158092
3205893,26218253
3251958,26598008
3274452,14978430
3278383,26993916
3293424,2022905
3298374,4486700
3309247,26844261
3318081,26046485
3339856,26588786
3372486,13599059
3380844,24725087
3399627,26317433
3399950,26556272
3406750,26999980
3407830,26582030
3434396,7501672
3434396,13647681
3434396,17920170
3450468,26327612
3458623,26810583
3468810,26830323
3522870,1587303
3525464,12941859
3525464,26580167
3525464,26775530
3539874,26282159
3545107,25664544
3589345,26446570
3589372,27623607
3605032,14277745
3605032,25691443
3605032,26514331
3608311,26196678
3633650,26388164
3635918,17318793
3682443,24574163
3682443,27518804
3689795,25290595
3703086,26422626
3703095,23982379
3703095,25570190
3730850,4029861
3733973,25695732
3745866,26251982
3751983,25691212
3758369,26586263
3759505,26989976
3773513,20708233
3776422,26904932
3783016,16801395
3783016,25774678
3785795,13427572
3800515,8506010
3800515,25396018
3807354,27342425
3823993,11758599
3823993,14983266
3823993,18158528
3825906,26578199
