"rbd_cc","vacantes"
"516_711000000133",30
"516_811000000133",34
"516_131000000133",118
"516_231000000133",35
"516_331000000133",47
"516_431000000133",62
"517_711000000133",118
"517_811000000133",33
"517_131000000133",74
"517_231000000133",28
"517_331000000133",13
"517_431000000133",8
"518_131000000133",168
"518_231000000133",31
"518_341041005133",21
"518_361061003133",11
"518_441041005133",41
"518_461061003133",11
"519_401000000133",84
"519_501000000133",55
"519_111000000133",74
"519_211000000133",49
"519_311000000133",15
"519_411000000133",13
"519_511000000133",22
"519_611000000133",27
"519_711000000133",46
"519_811000000133",18
"521_401000000133",35
"521_501000000133",14
"521_111000000133",13
"521_211000000133",7
"521_311000000133",4
"521_411000000133",5
"521_511000000133",2
"521_611000000133",11
"521_711000000133",4
"521_811000000133",6
"521_131000000133",14
"521_231000000133",1
"521_331000000133",4
"521_431000000133",6
"522_401000000113",30
"522_501000000113",17
"522_111000000113",27
"522_211000000113",44
"522_311000000113",31
"522_411000000113",18
"522_511000000113",27
"522_611000000113",20
"522_711000000113",34
"522_811000000113",39
"523_401000000133",25
"523_501000000133",12
"523_111000000133",25
"523_211000000133",22
"523_311000000133",14
"523_411000000133",10
"523_511000000133",5
"523_611000000133",5
"523_711000000133",10
"523_811000000133",17
"525_401000000133",35
"525_501000000133",11
"525_111000000133",41
"525_211000000133",31
"525_311000000133",20
"525_411000000133",30
"525_511000000133",16
"525_611000000133",28
"525_711000000133",30
"525_811000000133",24
"526_401000000132",40
"526_501000000131",12
"526_111000000133",5
"526_211000000133",1
"526_311000000133",3
"526_411000000133",0
"526_511000000133",3
"526_611000000133",5
"526_711000000133",0
"526_811000000133",3
"526_131000000133",9
"526_231000000133",4
"526_331000000133",0
"526_431000000133",3
"527_401000000133",35
"527_501000000133",11
"527_111000000133",46
"527_211000000133",31
"527_311000000133",18
"527_411000000133",33
"527_511000000133",12
"527_611000000133",11
"527_711000000133",22
"527_811000000133",22
"528_401000000133",30
"528_501000000133",8
"528_111000000133",17
"528_211000000133",3
"528_311000000133",11
"528_411000000133",12
"528_511000000133",17
"528_611000000133",0
"528_711000000133",25
"528_811000000133",21
"530_401000000133",30
"530_501000000133",10
"530_111000000133",46
"530_211000000133",26
"530_311000000133",15
"530_411000000133",22
"530_511000000133",19
"530_611000000133",28
"530_711000000133",16
"530_811000000133",17
"530_131000000133",59
"530_231000000133",21
"530_331000000133",24
"530_361061003133",16
"530_431000000133",5
"530_461061003133",17
"533_511000000133",20
"533_611000000133",10
"533_711000000133",12
"533_811000000133",12
"534_401000000133",25
"534_501000000133",16
"534_111000000133",55
"534_211000000133",39
"534_311000000133",27
"534_411000000133",22
"534_511000000133",17
"534_611000000133",14
"534_711000000133",20
"534_811000000133",26
"535_401000000133",32
"535_501000000133",24
"535_111000000133",6
"535_211000000133",7
"535_311000000133",34
"535_411000000133",34
"535_511000000133",23
"535_611000000133",23
"535_711000000133",24
"535_811000000133",11
"535_131000000133",18
"535_231000000133",11
"535_331000000133",8
"535_431000000133",4
"536_401000000133",28
"536_501000000133",19
"536_111000000133",24
"536_211000000133",25
"536_311000000133",6
"536_411000000133",10
"536_511000000133",6
"536_611000000133",11
"536_711000000133",9
"536_811000000133",20
"539_401000000133",22
"539_501000000133",8
"539_111000000133",7
"539_211000000133",10
"539_311000000133",7
"539_411000000133",6
"539_511000000133",13
"539_611000000133",8
"539_711000000133",5
"539_811000000133",9
"540_401000000133",10
"540_501000000133",5
"540_111000000133",14
"540_211000000133",11
"540_311000000133",9
"540_411000000133",15
"540_511000000133",12
"540_611000000133",10
"540_711000000133",13
"540_811000000133",7
"542_401000000133",31
"542_501000000133",22
"542_111000000133",19
"542_211000000133",17
"542_311000000133",14
"542_411000000133",16
"542_511000000133",21
"542_611000000133",12
"542_711000000133",14
"542_811000000133",4
"543_401000000133",24
"543_501000000133",14
"543_111000000133",10
"543_211000000133",3
"543_311000000133",6
"543_411000000133",12
"543_511000000133",8
"543_611000000133",8
"543_711000000133",9
"543_811000000133",10
"546_401000000131",20
"546_501000000131",4
"546_111000000133",11
"546_211000000133",2
"546_311000000133",3
"546_411000000133",0
"546_511000000133",7
"546_611000000133",4
"546_711000000133",7
"546_811000000133",6
"548_401000000133",12
"548_501000000133",6
"548_111000000133",11
"548_211000000133",3
"548_311000000133",7
"548_411000000133",3
"548_511000000133",6
"548_611000000133",6
"548_711000000133",9
"548_811000000133",7
"550_111000000133",3
"550_211000000133",3
"550_311000000133",2
"550_411000000133",3
"550_511000000133",2
"550_611000000133",3
"551_401000000133",16
"551_501000000133",0
"551_111000000133",11
"551_211000000133",9
"551_311000000133",8
"551_411000000133",5
"551_511000000133",6
"551_611000000133",10
"551_711000000133",7
"551_811000000133",5
"552_111000000133",5
"552_211000000133",5
"552_311000000133",4
"552_411000000133",4
"552_511000000133",5
"552_611000000133",4
"554_111000000133",5
"554_211000000133",4
"554_311000000133",4
"554_411000000133",0
"554_511000000133",3
"554_611000000133",3
"556_401000000133",15
"556_501000000133",18
"556_111000000133",15
"556_211000000133",11
"556_311000000133",4
"556_411000000133",10
"556_511000000133",14
"556_611000000133",10
"556_711000000133",20
"556_811000000133",12
"557_401000000133",28
"557_501000000133",8
"557_111000000133",3
"557_211000000133",4
"557_311000000133",4
"557_411000000133",2
"557_511000000133",2
"557_611000000133",6
"557_711000000133",7
"557_811000000133",11
"558_111000000133",3
"558_211000000133",0
"558_311000000133",1
"558_411000000133",3
"558_511000000133",0
"558_611000000133",5
"560_401000000133",15
"560_501000000133",0
"560_111000000133",17
"560_211000000133",18
"560_311000000133",9
"560_411000000133",8
"560_511000000133",19
"560_611000000133",16
"560_711000000133",24
"560_811000000133",27
"561_111000000133",5
"561_211000000133",1
"561_311000000133",1
"561_411000000133",2
"561_511000000133",2
"561_611000000133",1
"562_401000000133",20
"562_501000000133",9
"562_111000000133",29
"562_211000000133",13
"562_311000000133",15
"562_411000000133",12
"562_511000000133",13
"562_611000000133",10
"562_711000000133",21
"562_811000000133",26
"564_111000000133",5
"564_211000000133",4
"564_311000000133",4
"564_411000000133",1
"564_511000000133",1
"564_611000000133",2
"565_401000000133",30
"565_501000000133",7
"565_111000000133",46
"565_211000000133",8
"565_311000000133",0
"565_411000000133",3
"565_511000000133",2
"565_611000000133",5
"565_711000000133",3
"565_811000000133",2
"565_131000000133",11
"565_231000000133",3
"565_331000000133",4
"565_431000000133",4
"566_401000000131",35
"566_501000000131",22
"566_111000000133",26
"566_211000000133",12
"566_311000000133",9
"566_411000000133",4
"566_511000000133",1
"566_611000000133",8
"566_711000000133",10
"566_811000000133",16
"567_401000000133",70
"567_501000000133",23
"567_111000000133",5
"567_211000000133",3
"567_311000000133",4
"567_411000000133",2
"567_511000000133",1
"567_611000000133",2
"567_711000000133",4
"567_811000000133",5
"567_131000000133",5
"567_231000000133",5
"567_331000000133",3
"567_431000000133",3
"568_501000000131",38
"568_111000000131",6
"568_211000000131",3
"568_311000000133",6
"568_411000000133",5
"568_511000000133",3
"568_611000000133",4
"568_711000000133",8
"568_811000000133",2
"568_131000000133",6
"568_231000000133",1
"568_331000000133",3
"568_431000000133",0
"570_401000000132",35
"570_501000000131",10
"570_111000000133",1
"570_211000000133",1
"570_311000000133",1
"570_411000000133",1
"570_511000000133",0
"570_611000000133",0
"570_711000000133",0
"570_811000000133",4
"570_131000000133",0
"570_231000000133",1
"570_331000000133",3
"570_431000000133",2
"573_401000000131",35
"573_501000000131",7
"573_111000000133",3
"573_211000000133",8
"573_311000000133",0
"573_411000000133",1
"573_511000000133",2
"573_611000000133",1
"573_711000000133",1
"573_811000000133",0
"573_131000000133",34
"573_231000000133",4
"573_331000000133",0
"573_431000000133",2
"574_711000000123",156
"574_811000000123",78
"574_131000000123",35
"574_231000000123",30
"574_351052010123",1
"574_351052013123",0
"574_351053014123",0
"574_351053015123",4
"574_451052010123",1
"574_451052013123",4
"574_451053014123",5
"574_451053015123",5
"575_711000000113",75
"575_811000000113",6
"575_131000000113",94
"575_231000000113",32
"575_341041002113",6
"575_341041005113",21
"575_361061003113",11
"575_361064001113",16
"575_441041002113",3
"575_441041005113",32
"575_461061003113",1
"575_461064001113",1
"578_711000000133",36
"578_811000000133",24
"578_131000000133",88
"578_231000000133",37
"578_341041005133",7
"578_351053015133",4
"578_351058035133",19
"578_441041005133",12
"578_451053015133",22
"578_451058035133",17
"579_111000000131",87
"579_211000000131",1
"579_311000000133",2
"579_411000000133",3
"579_511000000133",0
"579_611000000133",1
"579_711000000133",40
"579_811000000133",0
"579_131000000133",1
"579_231000000133",3
"579_331000000133",6
"579_431000000133",6
"583_401000000131",70
"583_501000000131",1
"583_111000000133",3
"583_211000000133",2
"583_311000000133",5
"583_411000000133",1
"583_511000000133",1
"583_611000000133",1
"583_711000000133",4
"583_811000000133",6
"583_131000000133",0
"583_231000000133",2
"583_331000000133",2
"583_431000000133",2
"589_111000000132",30
"589_211000000131",4
"589_311000000133",10
"589_411000000133",6
"589_511000000133",3
"589_611000000133",2
"589_711000000133",1
"589_811000000133",1
"589_131000000133",5
"589_231000000133",3
"589_331000000133",4
"589_431000000133",1
"597_401000000133",30
"597_501000000133",15
"597_111000000133",9
"597_211000000133",8
"597_311000000133",2
"597_411000000133",3
"597_511000000133",3
"597_611000000133",6
"597_711000000133",3
"597_811000000133",8
"597_131000000133",8
"597_231000000133",11
"597_331000000133",3
"597_431000000133",9
"598_111000000133",7
"598_211000000133",3
"598_311000000133",1
"598_411000000133",2
"598_511000000133",3
"598_611000000133",1
"599_401000000133",15
"599_501000000133",6
"599_111000000133",24
"599_211000000133",25
"599_311000000133",23
"599_411000000133",11
"599_511000000133",22
"599_611000000133",23
"599_711000000133",12
"599_811000000133",14
"602_401000000133",25
"602_501000000133",11
"602_111000000133",12
"602_211000000133",10
"602_311000000133",8
"602_411000000133",7
"602_511000000133",15
"602_611000000133",7
"602_711000000133",4
"602_811000000133",10
"604_111000000133",2
"604_211000000133",0
"604_311000000133",4
"604_411000000133",2
"604_511000000133",5
"604_611000000133",0
"606_111000000133",7
"606_211000000133",2
"606_311000000133",0
"606_411000000133",3
"606_511000000133",0
"606_611000000133",5
"608_111000000133",8
"608_211000000133",6
"608_311000000133",3
"608_411000000133",7
"608_511000000133",8
"608_611000000133",5
"609_131000000133",228
"609_231000000133",19
"609_341041002133",17
"609_341041005133",5
"609_351058034133",2
"609_441041002133",3
"609_441041005133",1
"609_451058034133",1
"610_131000000131",160
"610_231000000131",45
"610_351052010132",3
"610_351052013132",2
"610_351053014132",30
"610_351053015132",34
"610_451052010131",13
"610_451052013131",56
"610_451053014131",25
"610_451053015131",32
"611_131000000133",148
"611_231000000133",40
"611_331000000133",25
"611_351058033133",7
"611_431000000133",1
"611_451058033133",6
"612_401000000133",20
"612_501000000133",14
"612_111000000133",18
"612_211000000133",8
"612_311000000133",12
"612_411000000133",7
"612_511000000133",7
"612_611000000133",9
"612_711000000133",11
"612_811000000133",12
"614_401000000133",25
"614_501000000133",16
"614_111000000133",35
"614_211000000133",24
"614_311000000133",22
"614_411000000133",14
"614_511000000133",13
"614_611000000133",13
"614_711000000133",11
"614_811000000133",16
"615_401000000133",30
"615_501000000133",14
"615_111000000133",25
"615_211000000133",5
"615_311000000133",9
"615_411000000133",15
"615_511000000133",8
"615_611000000133",8
"615_711000000133",9
"615_811000000133",5
"616_401000000133",50
"616_501000000133",46
"616_111000000133",47
"616_211000000133",13
"616_311000000133",12
"616_411000000133",12
"616_511000000133",10
"616_611000000133",16
"616_711000000133",29
"616_811000000133",17
"617_401000000133",27
"617_501000000133",19
"617_111000000133",29
"617_211000000133",14
"617_311000000133",7
"617_411000000133",4
"617_511000000133",13
"617_611000000133",9
"617_711000000133",4
"617_811000000133",14
"618_401000000133",50
"618_501000000133",8
"618_111000000133",33
"618_211000000133",26
"618_311000000133",20
"618_411000000133",16
"618_511000000133",24
"618_611000000133",12
"618_711000000133",13
"618_811000000133",21
"620_401000000133",30
"620_501000000133",5
"620_111000000133",55
"620_211000000133",27
"620_311000000133",43
"620_411000000133",24
"620_511000000133",25
"620_611000000133",10
"620_711000000133",37
"620_811000000133",22
"621_401000000133",25
"621_501000000133",18
"621_111000000133",16
"621_211000000133",8
"621_311000000133",9
"621_411000000133",3
"621_511000000133",7
"621_611000000133",6
"621_711000000133",9
"621_811000000133",4
"625_401000000133",20
"625_501000000133",14
"625_111000000133",20
"625_211000000133",8
"625_311000000133",5
"625_411000000133",5
"625_511000000133",10
"625_611000000133",4
"625_711000000133",13
"625_811000000133",16
"626_401000000131",70
"626_501000000131",18
"626_111000000133",36
"626_211000000133",31
"626_311000000133",26
"626_411000000133",29
"626_511000000133",7
