"mrun","rbd_cc","preferencia_postulante"
4444,"13396_611000000131",1
4444,"616_611000000133",2
4444,"655_611000000133",3
4444,"615_611000000133",4
4444,"614_611000000133",5
4444,"630_611000000133",6
6560,"31203_411000000133",1
6560,"40194_411000000133",2
6560,"666_411000000133",3
6707,"20390_511000000133",1
6707,"534_511000000133",2
6707,"13475_511000000133",3
6707,"13420_511000000133",4
6707,"519_511000000133",5
7726,"40194_511000000133",1
7726,"525_511000000133",2
7726,"614_511000000133",3
8958,"767_411000000133",1
8958,"13513_411000000133",2
8958,"763_411000000133",3
8958,"769_411000000133",4
8958,"766_411000000133",5
8958,"707_411000000113",6
9134,"518_131000000133",1
9134,"575_131000000113",2
9632,"575_811000000113",1
9632,"13586_811000000133",2
10647,"13360_131000000133",1
10647,"570_131000000133",2
10647,"579_131000000133",3
10933,"13446_811000000123",1
10933,"583_811000000133",2
11643,"574_711000000123",1
11643,"11145_711000000133",2
11643,"13489_711000000123",3
11643,"620_711000000133",4
13053,"573_231000000133",1
13053,"568_231000000133",2
13053,"526_231000000133",3
16366,"704_231000000133",1
16366,"11106_231000000133",2
16366,"13573_231000000133",3
16366,"766_231000000133",4
17311,"769_131000000133",1
17311,"13573_131000000133",2
21688,"13420_711000000133",1
21688,"13384_711000000133",2
21688,"13417_711000000133",3
21688,"13376_711000000133",4
21688,"13475_711000000133",5
21688,"579_711000000133",6
21688,"11155_711000000133",7
21688,"13463_711000000133",8
22637,"583_611000000133",1
22637,"579_611000000133",2
22637,"40194_611000000133",3
22637,"568_611000000133",4
22637,"556_611000000133",5
23146,"583_611000000133",1
23146,"579_611000000133",2
23146,"546_611000000133",3
25091,"13582_131000000133",1
25091,"574_131000000123",2
25091,"11155_131000000133",3
25091,"13475_131000000133",4
25396,"40126_131000000133",1
25396,"772_151053014133",2
25396,"705_131000000133",3
25396,"13590_131000000133",4
30365,"567_231000000133",1
30365,"579_231000000133",2
30365,"568_231000000133",3
31148,"575_131000000113",1
31148,"11144_131000000133",2
31432,"648_131000000133",1
31432,"649_131000000133",2
31432,"13324_131000000233",3
31432,"13361_131000000133",4
33905,"1048_131000000133",1
33905,"13486_131000000133",2
35937,"13333_131000000133",1
36701,"13604_411000000133",1
36701,"40064_411000000133",2
36701,"646_411000000133",3
36792,"13535_811000000133",1
36792,"40231_811000000133",2
36792,"12779_811000000133",3
36792,"13360_811000000133",4
36792,"13388_811000000233",5
36792,"589_811000000133",6
36792,"13305_811000000133",7
36792,"11157_811000000133",8
40012,"11130_331000000133",1
40012,"967_331000000133",2
42423,"517_131000000133",1
42423,"567_131000000133",2
42423,"13344_131000000133",3
42423,"13384_131000000133",4
42423,"516_131000000133",5
44708,"568_431000000133",1
44708,"13388_431000000233",2
46202,"579_411000000133",1
46202,"40194_411000000133",2
46202,"567_411000000133",3
46202,"568_411000000133",4
46202,"527_411000000133",5
49198,"13461_131000000133",1
49198,"13442_131000000133",2
49198,"13558_131000000133",3
49198,"13361_131000000133",4
49408,"579_711000000133",1
49408,"528_711000000133",2
49408,"517_711000000133",3
49408,"525_711000000133",4
49408,"583_711000000133",5
49408,"13384_711000000133",6
51456,"11145_511000000133",1
51456,"13518_511000000133",2
51592,"690_811000000133",1
51592,"526_811000000133",2
51592,"666_811000000133",3
52163,"13558_131000000133",1
52163,"609_131000000133",2
52163,"518_131000000133",3
52163,"565_131000000133",4
52163,"13442_131000000133",5
52439,"763_131000000133",1
52439,"11106_131000000133",2
52439,"767_131000000133",3
52439,"13439_131000000133",4
52439,"769_131000000133",5
52439,"13573_131000000133",6
52439,"766_131000000133",7
52439,"704_131000000133",8
52439,"13551_131000000133",9
52439,"13513_131000000133",10
53019,"766_131000000133",1
53019,"704_131000000133",2
53019,"11106_131000000133",3
53019,"763_131000000133",4
53019,"769_131000000133",5
53019,"768_131000000113",6
53019,"767_131000000133",7
53019,"13573_131000000133",8
53019,"13439_131000000133",9
53019,"13513_131000000133",10
53019,"13551_131000000133",11
53019,"772_171072007133",12
53218,"13356_611000000131",1
53218,"573_611000000133",2
53218,"13372_611000000133",3
53218,"40298_611000000133",4
54599,"40029_131000000133",1
54599,"668_131000000133",2
54599,"690_131000000133",3
54599,"31203_131000000133",4
54607,"648_611000000133",1
54607,"13324_611000000233",2
54607,"13442_611000000133",3
54607,"13388_611000000233",4
54607,"583_611000000133",5
54607,"570_611000000133",6
54607,"579_611000000133",7
54607,"573_611000000133",8
54607,"589_611000000133",9
54607,"40231_611000000133",10
54607,"649_611000000133",11
54607,"13313_611000000133",12
57972,"13610_811000000133",1
57972,"13446_811000000113",2
57972,"568_811000000133",3
57972,"557_811000000133",4
58183,"518_231000000133",1
58183,"609_231000000133",2
58183,"516_231000000133",3
58373,"579_511000000133",1
58373,"583_511000000133",2
61467,"13561_811000000133",1
61467,"13324_811000000233",2
61467,"655_811000000133",3
61557,"40029_131000000133",1
61557,"13606_131000000133",2
61557,"690_131000000133",3
61940,"649_131000000133",1
61940,"13561_131000000133",2
61940,"13314_131000000133",3
66156,"763_711000000133",1
66156,"704_711000000133",2
66156,"769_711000000133",3
66156,"11106_711000000133",4
66156,"929_711000000133",5
69196,"13372_411000000133",1
69196,"13373_411000000133",2
69196,"13504_411000000133",3
69196,"40064_411000000133",4
69196,"573_411000000133",5
69196,"13356_411000000131",6
69196,"13388_411000000133",7
69196,"31194_411000000133",8
69196,"565_411000000133",9
69196,"13535_411000000133",10
69196,"12779_411000000133",11
69196,"13305_411000000133",12
69196,"13637_411000000133",13
70798,"967_131000000133",1
70798,"987_131000000133",2
70798,"11130_131000000133",3
70798,"982_131000000133",4
71932,"609_131000000133",1
71932,"13361_131000000133",2
71932,"13558_131000000133",3
71932,"13561_131000000133",4
71932,"13621_131000000133",5
72003,"647_231000000133",1
72003,"13561_231000000133",2
72003,"609_231000000133",3
72003,"610_231000000131",4
73595,"648_811000000133",1
73595,"649_811000000133",2
73595,"13361_811000000133",3
73595,"13313_811000000133",4
73595,"13621_811000000133",5
73953,"11157_231000000133",1
73953,"13356_231000000133",2
73953,"570_231000000133",3
73953,"573_231000000133",4
73953,"579_231000000133",5
73953,"13372_231000000133",6
73953,"535_231000000133",7
76033,"13324_411000000133",1
76033,"648_411000000133",2
76033,"13361_411000000133",3
76033,"646_411000000133",4
78240,"570_511000000133",1
78240,"579_511000000133",2
78240,"40298_511000000133",3
78240,"534_511000000133",4
83292,"610_231000000131",1
83292,"13361_231000000133",2
83292,"646_231000000133",3
83292,"40208_231000000133",4
83292,"13621_231000000133",5
83292,"565_231000000133",6
83292,"574_231000000123",7
83292,"40298_231000000133",8
83292,"611_231000000133",9
84714,"11144_511000000133",1
84714,"11105_511000000133",2
84714,"618_511000000133",3
85215,"13313_411000000233",1
85215,"655_411000000133",2
85215,"649_411000000133",3
85215,"13314_411000000233",4
85215,"13559_411000000133",5
88820,"13420_131000000133",1
88820,"13344_131000000133",2
88820,"567_131000000133",3
93968,"704_131000000133",1
93968,"799_131000000133",2
93968,"802_131000000133",3
94874,"13324_511000000133",1
94874,"648_511000000133",2
94874,"11133_511000000132",3
94874,"13361_511000000133",4
96094,"570_611000000133",1
96094,"573_611000000133",2
96094,"11114_611000000133",3
96094,"583_611000000133",4
96094,"13376_611000000133",5
96094,"579_611000000133",6
96094,"13384_611000000133",7
96094,"526_611000000133",8
96094,"13552_611000000133",9
96094,"13586_611000000133",10
96094,"565_611000000133",11
96094,"31194_611000000133",12
96094,"12779_611000000133",13
96094,"13535_611000000133",14
96094,"530_611000000133",15
97365,"583_811000000133",1
97365,"579_811000000133",2
97365,"573_811000000133",3
97365,"568_811000000133",4
98463,"11145_611000000133",1
98463,"13489_611000000123",2
98463,"13504_611000000133",3
102501,"13558_131000000133",1
102501,"610_131000000131",2
102501,"609_131000000133",3
105357,"967_131000000133",1
105357,"11130_131000000133",2
105357,"987_131000000133",3
106610,"13344_131000000133",1
106610,"13420_131000000133",2
106610,"13475_131000000133",3
106610,"13384_131000000133",4
106610,"13586_131000000133",5
107042,"704_711000000133",1
107042,"763_711000000133",2
107042,"766_711000000133",3
107042,"708_711000000133",4
108181,"13565_331000000133",1
108181,"13344_331000000133",2
108872,"13542_811000000133",1
108872,"897_811000000133",2
111588,"13314_131000000133",1
111588,"13561_131000000133",2
111588,"13313_131000000133",3
111588,"611_131000000133",4
111588,"13621_131000000133",5
111873,"705_131000000133",1
111873,"13513_131000000133",2
111873,"40126_131000000133",3
111873,"763_131000000133",4
112755,"632_511000000133",1
112755,"646_511000000133",2
114321,"1036_811000000133",1
114321,"1015_811000000133",2
114321,"1014_811000000133",3
115208,"668_131000000133",1
115208,"665_131000000133",2
116820,"13426_811000000133",1
116820,"13420_811000000133",2
116820,"13565_811000000133",3
116820,"13384_811000000133",4
116820,"570_811000000133",5
116820,"13388_811000000233",6
120119,"13489_131000000123",1
120119,"12779_131000000133",2
120119,"574_131000000123",3
