"mrun_1","mrun_2"
6707,10318201
13053,15702454
21688,15803561
22637,5523517
23146,14547794
40012,23054140
44708,21338956
53019,11290714
54607,26286959
58183,15176641
66156,26570518
71932,4960203
79876,25289334
83292,26196606
84714,26414055
96094,27576259
98463,25232982
107042,27192160
108181,26510344
108872,25769524
112755,25663026
116820,26588422
124500,12963538
124500,25951618
124500,26900453
128653,3376600
133518,25886854
133872,9213792
140817,25917540
148897,21180252
148897,25692677
149865,26696367
155083,16109517
155083,25256656
164025,13926337
177509,14423995
180300,4036276
182607,26408394
188962,24800837
197148,26229478
213188,25243030
225840,26893592
233070,5968912
235853,15359339
236343,3671110
236343,26174074
252652,2800622
252652,9345009
252652,14545925
252652,15520311
252652,25932510
252652,26293534
254322,20496368
261174,25162856
262672,8958
267141,25950679
268597,5823873
268597,26792377
268597,27496258
280452,26191524
280452,26521779
285244,12665700
285244,26293587
285535,22437937
285535,26628015
294904,24485375
319269,1842958
320859,6830728
320859,25893338
323762,10407086
345077,25672790
351448,26653967
353494,25206012
358255,20085745
369256,25656757
371722,7134055
383383,26145506
406216,25173189
420376,7097105
426651,25451670
432389,26828713
437813,1787217
486278,21898882
487487,25723566
488206,14864568
489387,17380303
495724,26503068
495849,4121910
495849,26592775
519109,24536462
537560,26437313
547115,24839911
547115,25779171
549501,24981499
552023,25387524
555445,25587752
566912,25529664
569490,15211923
570081,1908178
577111,27635389
582314,26907467
585615,20586794
592629,6353577
598477,17053031
602238,25660405
609752,26437840
623156,25207770
624476,19263274
624476,21084590
624476,26428886
630055,26030774
630863,26523493
639861,25652785
648408,25644768
648593,13952519
648720,4501120
658032,26359486
662103,13480090
663271,3620380
663271,16549933
663271,26331956
668126,26310689
677275,26880536
685610,26359543
685632,26907722
698260,17137465
712216,7961688
714012,27339858
721096,25169782
721096,26354170
721480,17601505
733329,24407951
733329,25294662
739409,26187464
744598,19967397
748733,25726439
752997,25396522
760611,25896423
765005,1453993
765005,27023990
776359,16375824
778293,25667513
809936,25354177
822468,26828318
822639,26046759
829283,25646789
830588,14924482
833163,26830083
838052,6874348
838636,8829921
840729,27105346
846619,26627625
855583,26444616
856756,26592531
857860,10477119
857860,27025279
858708,25450420
859782,13420186
861833,17204341
861999,26180325
880027,20784121
889778,10506128
889778,25233466
901475,26757590
910300,985959
916249,25730087
918890,14026153
919173,1111271
923064,26107882
923164,16935723
950099,25284293
962651,4673064
962651,6075399
971938,23622830
971938,26461491
975341,26095325
980096,26189740
980096,26201156
982087,25696883
983894,25957387
987399,27030000
988669,1411333
988669,10389302
988669,23787660
989513,9273855
995294,26204163
996332,25282162
1000149,26724975
1000430,25222696
1004442,922390
1006843,2751328
1013675,2780027
1019005,25942971
1022611,10359860
1024732,26200203
1031137,26513212
1032777,27040606
1036182,780809
1036196,26150185
1040296,24758406
1040296,25417889
1041044,8817938
1046953,26215969
1046954,26035782
1048636,25582665
1048721,20864386
1055292,27246383
1065809,26997472
1072930,2506697
1072930,14822569
1073997,26122592
1080743,26666800
1084490,24184061
1086237,4216772
1092453,26828079
1097088,26217451
1097302,25682575
1102063,25196844
1102343,26910635
1103267,16166801
1106828,26892256
1114583,1608731
1115703,16927366
1115703,27018609
1120083,25392308
1130235,25571040
1140744,26595376
1148130,25663953
1154310,25984091
1170144,25657197
1192451,21260645
1199364,9655418
1200353,25563512
1206567,2942325
1208119,26203203
1208689,6811113
1208694,26877075
1212084,25310377
1212407,14074684
1212407,16017166
1216093,8153727
1224625,17460218
1243906,3048857
1269569,26670270
1270412,18523107
1270412,26877158
1271351,26635088
1275731,6447993
1281617,26508261
1293392,25239766
1294014,25251434
1294014,25673433
1297161,15412211
1298781,26022646
1298781,26829774
1300393,26352269
1309492,12838164
