"rbd_cc","vacantes"
"7325_711000000133",210
"7325_811000000133",35
"7325_131000000133",135
"7325_231000000133",40
"7325_331000000133",67
"7325_431000000133",56
"7326_131000000133",185
"7326_231000000133",51
"7326_351051005133",6
"7326_351052010133",18
"7326_351052013133",7
"7326_351053014133",9
"7326_451051005133",13
"7326_451052010133",9
"7326_451052013133",7
"7326_451053014133",5
"7328_131000000133",127
"7328_231000000133",33
"7328_331000000133",0
"7328_341041005133",0
"7328_361061001133",0
"7328_361064008133",4
"7328_431000000133",2
"7328_441041005133",2
"7328_461061001133",4
"7328_461064008133",1
"7329_131000000133",215
"7329_231000000133",0
"7329_331000000133",0
"7329_431000000133",0
"7331_131000000133",282
"7331_231000000133",52
"7331_341041002133",12
"7331_341041005133",16
"7331_351058034133",12
"7331_361064001133",4
"7331_441041002133",3
"7331_441041005133",1
"7331_451058034133",5
"7331_461064001133",1
"7332_401000000133",25
"7332_501000000133",1
"7332_111000000133",17
"7332_211000000133",14
"7332_311000000133",3
"7332_411000000133",12
"7332_511000000133",7
"7332_611000000133",10
"7332_711000000133",5
"7332_811000000133",4
"7333_401000000132",37
"7333_501000000131",25
"7333_111000000133",28
"7333_211000000133",24
"7333_311000000133",16
"7333_411000000133",23
"7333_511000000133",21
"7333_611000000133",20
"7333_711000000133",16
"7333_811000000133",12
"7334_401000000131",27
"7334_501000000131",14
"7334_501000000132",24
"7334_111000000132",46
"7334_211000000131",36
"7334_311000000133",15
"7334_411000000133",12
"7334_511000000133",25
"7334_611000000133",22
"7334_711000000133",18
"7334_811000000133",26
"7335_401000000133",20
"7335_501000000133",1
"7335_111000000133",21
"7335_211000000133",15
"7335_311000000133",5
"7335_411000000133",12
"7335_511000000133",4
"7335_611000000133",4
"7335_711000000133",5
"7335_811000000133",8
"7336_401000000133",20
"7336_501000000133",8
"7336_111000000133",26
"7336_211000000133",21
"7336_311000000133",17
"7336_411000000133",17
"7336_511000000133",22
"7336_611000000133",23
"7336_711000000133",5
"7336_811000000133",16
"7337_401000000133",30
"7337_501000000133",8
"7337_111000000133",59
"7337_211000000133",37
"7337_311000000133",38
"7337_411000000133",41
"7337_511000000133",37
"7337_611000000133",34
"7337_711000000133",38
"7337_811000000133",24
"7338_401000000132",33
"7338_501000000131",11
"7338_111000000132",53
"7338_211000000132",34
"7338_311000000133",8
"7338_411000000133",10
"7338_511000000133",25
"7338_611000000133",12
"7338_711000000133",15
"7338_811000000133",24
"7339_401000000133",28
"7339_501000000133",30
"7339_111000000133",50
"7339_211000000133",50
"7339_311000000133",34
"7339_411000000133",47
"7339_511000000133",44
"7339_611000000133",31
"7339_711000000133",42
"7339_811000000133",37
"7340_401000000133",15
"7340_501000000133",6
"7340_111000000133",35
"7340_211000000133",28
"7340_311000000133",27
"7340_411000000133",26
"7340_511000000133",25
"7340_611000000133",22
"7340_711000000133",20
"7340_811000000133",22
"7341_401000000133",25
"7341_501000000133",11
"7341_111000000133",13
"7341_211000000133",9
"7341_311000000133",13
"7341_411000000133",6
"7341_511000000133",9
"7341_611000000133",5
"7341_711000000133",9
"7341_811000000133",12
"7343_401000000131",30
"7343_401000000132",30
"7343_501000000131",4
"7343_501000000132",19
"7343_111000000131",34
"7343_211000000131",26
"7343_311000000133",28
"7343_411000000133",26
"7343_511000000133",43
"7343_611000000133",27
"7343_711000000133",21
"7343_811000000133",25
"7346_401000000132",38
"7346_501000000131",28
"7346_111000000131",28
"7346_111000000132",43
"7346_211000000131",12
"7346_211000000132",29
"7346_311000000133",42
"7346_411000000133",40
"7346_511000000133",57
"7346_611000000133",48
"7346_711000000133",49
"7346_811000000133",44
"7347_401000000133",13
"7347_501000000133",3
"7347_111000000133",26
"7347_211000000133",18
"7347_311000000133",11
"7347_411000000133",19
"7347_511000000133",18
"7347_611000000133",19
"7347_711000000133",6
"7347_811000000133",13
"7348_401000000133",30
"7348_501000000133",15
"7348_111000000133",42
"7348_211000000133",8
"7348_311000000133",10
"7348_411000000133",35
"7348_511000000133",34
"7348_611000000133",23
"7348_711000000133",18
"7348_811000000133",16
"7349_401000000133",35
"7349_501000000133",11
"7349_111000000133",15
"7349_211000000133",12
"7349_311000000133",7
"7349_411000000133",12
"7349_511000000133",7
"7349_611000000133",6
"7349_711000000133",8
"7349_811000000133",4
"7352_401000000133",44
"7352_501000000133",29
"7352_111000000133",21
"7352_211000000133",6
"7352_311000000133",12
"7352_411000000133",4
"7352_511000000133",12
"7352_611000000133",6
"7352_711000000133",7
"7352_811000000133",2
"7354_401000000133",12
"7354_501000000133",4
"7354_111000000133",13
"7354_211000000133",6
"7354_311000000133",8
"7354_411000000133",3
"7354_511000000133",9
"7354_611000000133",7
"7354_711000000133",9
"7354_811000000133",6
"7355_401000000133",12
"7355_501000000133",5
"7355_111000000133",7
"7355_211000000133",7
"7355_311000000133",3
"7355_411000000133",5
"7355_511000000133",3
"7355_611000000133",2
"7355_711000000133",15
"7355_811000000133",18
"7356_111000000133",4
"7356_211000000133",5
"7356_311000000133",4
"7356_411000000133",1
"7356_511000000133",5
"7356_611000000133",1
"7357_111000000133",15
"7357_211000000133",12
"7357_311000000133",9
"7357_411000000133",8
"7357_511000000133",9
"7357_611000000133",11
"7357_711000000133",6
"7357_811000000133",7
"7359_111000000133",5
"7359_211000000133",5
"7359_311000000133",5
"7359_411000000133",4
"7359_511000000133",1
"7359_611000000133",3
"7366_111000000133",5
"7366_211000000133",4
"7366_311000000133",3
"7366_411000000133",5
"7366_511000000133",3
"7366_611000000133",3
"7366_711000000133",13
"7368_111000000133",5
"7368_211000000133",1
"7368_311000000133",2
"7368_411000000133",2
"7368_511000000133",2
"7368_611000000133",2
"7368_711000000133",3
"7368_811000000133",0
"7369_401000000133",10
"7369_501000000133",1
"7369_111000000133",11
"7369_211000000133",9
"7369_311000000133",11
"7369_411000000133",8
"7369_511000000133",7
"7369_611000000133",12
"7369_711000000133",12
"7369_811000000133",7
"7371_111000000133",7
"7371_211000000133",5
"7371_311000000133",8
"7371_411000000133",7
"7371_511000000133",7
"7371_611000000133",12
"7371_711000000133",6
"7371_811000000133",12
"7372_401000000133",10
"7372_501000000133",4
"7372_111000000133",7
"7372_211000000133",1
"7372_311000000133",5
"7372_411000000133",10
"7372_511000000133",0
"7372_611000000133",2
"7372_711000000133",11
"7372_811000000133",3
"7377_401000000133",14
"7377_501000000133",2
"7377_111000000133",5
"7377_211000000133",0
"7377_311000000133",0
"7377_411000000133",1
"7377_511000000133",0
"7377_611000000133",3
"7377_711000000133",6
"7377_811000000133",2
"7380_111000000133",5
"7380_211000000133",5
"7380_311000000133",3
"7380_411000000133",5
"7380_511000000133",4
"7380_611000000133",4
"7381_111000000133",5
"7381_211000000133",6
"7381_311000000133",5
"7381_411000000133",5
"7381_511000000133",3
"7381_611000000133",5
"7382_111000000133",6
"7382_211000000133",2
"7382_311000000133",3
"7382_411000000133",1
"7382_511000000133",3
"7382_611000000133",3
"7382_711000000133",5
"7382_811000000133",6
"7384_111000000133",5
"7384_211000000133",4
"7384_311000000133",3
"7384_411000000133",4
"7384_511000000133",4
"7384_611000000133",0
"7384_711000000133",20
"7384_811000000133",19
"7385_401000000133",15
"7385_501000000133",6
"7385_111000000133",20
"7385_211000000133",16
"7385_311000000133",23
"7385_411000000133",16
"7385_511000000133",16
"7385_611000000133",17
"7385_711000000133",22
"7385_811000000133",14
"7388_401000000133",70
"7388_501000000133",1
"7388_111000000133",2
"7388_211000000133",2
"7388_311000000133",3
"7388_411000000133",0
"7388_511000000133",0
"7388_611000000133",0
"7388_711000000133",0
"7388_811000000133",0
"7388_131000000133",2
"7388_231000000133",3
"7388_331000000133",0
"7388_431000000133",0
"7390_401000000133",25
"7390_501000000133",18
"7390_111000000133",21
"7390_211000000133",20
"7390_311000000133",17
"7390_411000000133",16
"7390_511000000133",16
"7390_611000000133",16
"7391_111000000133",28
"7391_211000000133",12
"7391_311000000133",9
"7391_411000000133",10
"7391_511000000133",10
"7391_611000000133",2
"7391_711000000133",0
"7391_811000000133",6
