"mrun","rbd_cc","preferencia_postulante"
495,"7626_131000000133",1
495,"22543_131000000133",2
495,"40351_131000000133",3
495,"22494_131000000133",4
495,"7699_131000000133",5
495,"22434_131000000133",6
1000,"7470_171072007133",1
1000,"7401_131000000133",2
1000,"22410_131000000133",3
2260,"7706_711000000133",1
2260,"40285_711000000133",2
2357,"8001_131000000133",1
2357,"8002_131000000133",2
2357,"22504_131000000133",3
5134,"8194_711000000133",1
5134,"8174_711000000133",2
6364,"16985_131000000133",1
6364,"22196_131000000133",2
6364,"22330_131000000133",3
7581,"7401_131000000133",1
7581,"7331_131000000133",2
7581,"7325_131000000133",3
10174,"22553_361064001133",1
10174,"22543_361063011133",2
16201,"8002_811000000133",1
16201,"12192_811000000133",2
16201,"8004_811000000133",3
17186,"7744_131000000133",1
17186,"7743_131000000133",2
18398,"7975_311000000133",1
18398,"22546_311000000133",2
18398,"7976_311000000133",3
18398,"22096_311000000133",4
19242,"22084_361063009133",1
19242,"22084_371071001133",2
19242,"7325_331000000133",3
19242,"22626_331000000133",4
22766,"22196_131000000133",1
22766,"22330_131000000133",2
24374,"7613_711000000133",1
24374,"7583_711000000133",2
24374,"7357_711000000133",3
24374,"7544_711000000133",4
31028,"7989_131000000133",1
31028,"7973_131000000133",2
31028,"22306_131000000133",3
31028,"22234_131000000133",4
31028,"7572_131000000133",5
31028,"22358_131000000133",6
31028,"7699_131000000133",7
31028,"7701_131000000133",8
34734,"12183_811000000133",1
34734,"7401_811000000133",2
34734,"22236_811000000133",3
37295,"8109_131000000133",1
37295,"8108_131000000133",2
37295,"8105_131000000133",3
40525,"7638_411000000133",1
40525,"7685_411000000133",2
42008,"40284_711000000133",1
42008,"22410_711000000133",2
42008,"12183_711000000133",3
42008,"7349_711000000133",4
42008,"7333_711000000133",5
42882,"7625_351052009133",1
42882,"7629_361064001131",2
42882,"40256_331000000131",3
42914,"7699_711000000133",1
42914,"22192_711000000133",2
42914,"22434_711000000133",3
42914,"7701_711000000133",4
42914,"7707_711000000131",5
45542,"7699_131000000133",1
45542,"7629_131000000133",2
45542,"7626_131000000133",3
46693,"22114_131000000133",1
46693,"22564_131000000133",2
47295,"7744_811000000133",1
47295,"7743_811000000133",2
48386,"22211_131000000133",1
48386,"22065_131000000133",2
48386,"8002_131000000133",3
48863,"7772_131000000133",1
48863,"22691_131000000133",2
48863,"7773_131000000133",3
49288,"7826_131000000133",1
49288,"22691_131000000133",2
54939,"22564_131000000133",1
54939,"7470_171072007133",2
54939,"7328_131000000133",3
54939,"22271_131000000133",4
54939,"22114_131000000133",5
55395,"7723_611000000133",1
55395,"7743_611000000133",2
55395,"22519_611000000133",3
55395,"7744_611000000133",4
55395,"22338_611000000133",5
57010,"7743_131000000133",1
57010,"7744_131000000133",2
57010,"7720_131000000133",3
57668,"7699_351052010133",1
57668,"7625_351052013133",2
58662,"7536_131000000133",1
58662,"22322_131000000133",2
58662,"22358_131000000133",3
58981,"7705_131000000113",1
58981,"22543_131000000133",2
58981,"7699_131000000133",3
62462,"7625_131000000133",1
62462,"22543_131000000133",2
62462,"22664_131000000133",3
64135,"8109_131000000133",1
64135,"8108_131000000133",2
64135,"8105_131000000133",3
65365,"7325_131000000133",1
65365,"7401_131000000133",2
65365,"7329_131000000133",3
70799,"40301_131000000133",1
70799,"8255_131000000133",2
70799,"22597_131000000133",3
70799,"16985_131000000133",4
71701,"7470_171072007133",1
72707,"7743_131000000133",1
72707,"7744_131000000133",2
72707,"22602_131000000133",3
76460,"12183_511000000133",1
