"mrun_1","mrun_2"
16201,26553657
19242,26523232
22766,27622447
23744,9852438
24374,20598438
31028,26998208
37295,26216049
40525,25567163
40525,25675935
40525,26194416
40525,26724017
46693,12297260
46693,14972632
46693,22545960
47295,5684215
55395,25653234
83515,25381510
91337,25683383
94469,13457768
95257,26409800
100066,26022831
102612,9179801
102612,26793398
117286,8516100
117286,26001564
117286,26171410
126973,15670638
135261,25725477
151387,25770150
151387,26028080
156035,27509202
162182,26579257
164304,12570459
172271,2750082
178791,18349510
194927,1721188
194927,25887375
197397,7849354
201927,26351057
207172,11118855
218933,27050887
219583,13159888
223072,21561757
227555,27106004
228653,26514052
234817,26856354
240141,4137533
240141,25650446
260764,12643866
264557,26777975
277708,18693801
277708,26509281
280840,27623672
285535,22437937
285535,26628015
293852,21499027
298174,26002678
311487,7942927
312296,19779395
316372,15354161
320349,5894428
354198,1648792
361508,15040600
367585,22262154
370447,27171862
371590,26998251
399241,26372540
403214,14374634
405211,26042802
417567,26389769
438350,1908000
448181,22209591
460858,25543070
464292,26183674
464542,26172876
469495,23962839
484263,23038958
485698,1266333
487579,963024
503064,14913967
508470,18391625
515613,27632168
515799,11630469
520483,25651170
526817,9199081
529556,20201677
546992,11607307
548531,5655918
548531,26700845
549587,27035024
549587,27047855
564680,12209903
565295,18993369
570949,26404044
593029,24788306
602001,26201905
608677,3360813
614653,5504193
615386,26390661
615391,25286768
616264,15538275
618985,25413964
622227,6980834
624633,26687265
638628,26446094
652362,22135952
658102,25957030
661393,26195293
664506,7937031
664506,11221904
664506,26837370
664656,26203238
672435,11800650
679357,26691978
689357,25728838
697014,25655206
701637,26322664
709490,26204881
719758,26534294
726710,26860156
735754,26772698
742678,25696214
748462,16358149
751919,25692526
751919,27632163
756404,13649366
756751,26578711
766119,27163103
772558,26752423
776182,13204704
776969,26250660
786332,14233169
812239,15597377
817045,17243689
828755,12274675
839969,20390734
839969,26989878
846894,21064381
846894,26432462
846894,26701833
846924,20148061
857897,26768918
858186,18228454
858186,25667391
871180,3267133
872112,26212333
906625,25683561
907355,18144711
911147,23077161
935526,11966798
938688,27486356
944556,25436039
949979,9839929
961808,25528378
964106,26094084
987364,23625659
994528,26592268
1002478,25527420
1002478,26182693
1010093,26896263
1012120,27625805
1025721,26227776
1039287,25931015
1039847,23753894
1043882,24797230
1046691,25536600
1046691,26679781
1059661,616264
1059661,15538275
1067349,26608200
1073070,26416161
1079772,25385569
1081171,5638726
1081839,11551712
1081839,23185062
1087616,19709352
1090101,5897544
1098003,751919
1098003,25692526
1098003,27632163
1112822,25720364
1112822,27013350
1123204,22948303
1124655,26858636
1142607,26747924
1153755,26627492
1169514,26201758
1170217,25193743
1181775,11619682
1184231,10182232
1185202,26090531
1192004,26314379
1202004,25531560
1207230,8234115
1212164,27046155
1227670,19493461
1227670,26019886
1253913,2072055
1266953,9031568
1267350,27044057
1279802,11057626
1289357,25423331
1301377,25382743
1307384,26346899
1309217,27024249
1319993,3982380
1319993,26407855
1325100,20770622
1325945,22643320
1332087,25671322
1332087,25677727
1342698,25647743
1360220,27205405
1365485,26210130
1370914,10520985
1372911,16175422
1372911,24644450
1379979,25995572
1386998,17069860
1401960,944556
1401960,25436039
1407740,25660965
1424677,26783430
1426191,11275906
1445566,26574004
1447867,26765753
1452700,26418866
1489120,9941461
1494430,25941064
1498112,1206696
1502908,27192874
1505807,25694824
1507811,26847591
1517806,26213413
1530885,25398581
1536190,25227123
1549359,25416530
1551967,9829561
1551967,12499943
1573092,26430400
1579122,16349818
1586882,15490125
1587676,20906756
1603949,19348170
1607511,6349135
1607511,25376496
1607511,26031577
1613985,24425321
1623932,16382657
1643949,27045238
1644843,21540250
1646185,25954966
1652600,25945699
1653721,8352702
1658207,26402486
1667718,12877925
1667718,25586377
1699854,26212213
1700909,26557927
1706013,26843058
1706992,26411177
1719132,27016193
1735001,26004434
1740931,25687225
1741645,3009552
1741645,3273682
1746204,1424677
1746204,26783430
1752631,21946229
1761427,27626646
1762434,27376664
1772617,20803386
1789960,11430845
1799339,4137533
1799339,22814468
1799339,25650446
1805710,20962317
1809347,26209931
1838561,26219121
1839509,26350994
1840683,27034087
1841796,26509728
1843092,25261646
1851055,27384931
1857586,4082378
1862177,25381390
1862177,25773300
1862177,26724843
1875753,22038945
1877922,26752827
1880398,24463593
1880398,25665305
1880795,25444628
1896941,26199180
1910097,14843039
1911772,25218270
1925872,1973164
1943161,25780763
1943161,26174601
1950129,16141162
1950129,23403123
1950129,27042632
1960497,18928640
1960497,25880573
1977867,26023779
1989979,26995385
1992117,25541756
1997773,25216349
2004301,21697160
2010468,841706
2012761,11424615
2024454,26850896
2026800,26086618
2035301,25885797
2077055,27359921
2086887,22276371
2094670,26688144
2094824,16968843
2110330,5965947
2118198,27625689
2133229,15048062
2137244,26203721
2148067,10065180
2148086,23226811
2148928,4164775
2151014,25525577
2158958,3142267
2164845,26440027
2167404,26187377
2181736,26404963
2183866,25676638
2188840,2017797
2191609,27621991
2194612,26389709
2195871,27190575
2197149,15951501
2207862,1943161
2207862,25780763
2207862,26174601
2210197,17318271
2210197,25905729
2219749,2323601
2219749,26842927
2229908,26252576
2242926,4425127
2254467,2782664
2259695,6211568
2267849,19771931
2268982,26443197
2312463,6570627
2323601,26842927
2328846,26172200
2331224,25357785
2331224,26432110
2343507,27570336
2345314,25950047
2350341,26719569
2353082,1843092
2353082,16772456
2353082,25261646
2371905,26680352
2374245,4719702
2376334,26792880
2409044,21263828
2415882,10608772
2425860,4910823
2433849,26520613
2436125,20876630
2436317,25995290
2457499,25431861
2468116,26850635
2485218,5353719
2486868,26405105
2489311,26309884
2490938,4462134
2492043,1188880
2494095,27037335
2494627,6297037
2551129,26202037
2554612,26126003
2565602,26406756
2565807,3294324
2566705,15838710
2601702,26065039
2611603,25697498
2615615,25651939
2615615,25666786
2616884,25585209
2616884,25732120
2616884,26224448
2618062,26091010
2633857,22478909
2638092,14158729
2650269,9273048
2650269,19698036
2661440,25728246
2665093,26205654
2670382,3149234
2678446,25249750
2684422,25468894
2684422,25665341
2687892,26298340
2700230,26210317
2703910,27626646
2708273,18974169
2716465,26449658
2716716,25214236
2717137,22678060
2733977,10403752
2741557,26761422
2748578,26201377
2752284,26313248
2752682,26212258
2760015,25343548
2775973,7148200
2775973,25899367
2790497,25193318
2798865,13033075
2803300,5701204
2812601,26247023
2819127,1418453
2825498,26555211
2832790,26184606
2849537,26731328
2859468,25156193
2859590,12788916
2859590,26447298
2872367,26172870
2872367,26251313
2872789,3617947
2879567,26735078
2884933,3731824
2897916,4139248
2903512,20342737
2916421,27631452
2917824,22872942
2924251,26686880
2927546,3028499
2934129,5744607
2938808,26017309
2947205,26820462
2974497,7716827
2983587,25930657
2995087,1374727
3000131,22938196
3004216,26845665
3009552,3273682
3029192,26251970
3029230,21200389
3050719,27003142
3050719,27180788
3054067,12997097
3054067,17696738
3059971,27181825
3062370,25721615
3063254,19517511
3063254,25322362
3070113,10276594
3071678,10506206
3101144,26184724
3101578,26580414
3101578,26954200
3108030,25931080
3108402,16579306
3108402,26001670
3113574,4808462
3114842,25906667
3138085,26654555
3148656,10834963
3148656,17172811
3149234,26215175
3165739,765318
3185750,15678528
3201590,16862667
3225641,25481777
3261381,26198915
3262981,26175253
3266186,17672094
3275943,15736290
3281454,463126
3291118,22518659
3298740,1320031
3298740,8344003
3298740,21825735
3305256,20957932
3305256,26611602
3312966,25896814
3315142,26202726
3316273,26989812
3317111,16651445
3329240,26207756
3337961,26537448
3341465,26888630
3349140,26203722
3366297,26519301
3372760,1342698
3372760,25647743
3384447,22025138
3386412,25310319
3397164,11544021
3400021,25276918
3409968,2983587
3409968,25930657
3414144,25544389
3415649,26091794
3420128,26592658
3422522,25289974
3422522,25377861
3437183,26717135
3444242,25692278
3450053,5386184
3450053,26512677
3459539,26424452
3464288,16121710
3464626,26343372
3464626,26695992
3469491,26364626
3474317,8331272
3474317,26818556
3477672,7660333
3477672,25728495
3480518,25217605
3484040,26547987
3492167,26440074
3499169,14100594
3505014,10921505
3505014,26873497
3519945,5292986
3531780,27630188
3541498,667490
3551795,25930818
3553801,25336449
3555243,25167980
3560832,27388954
3601413,26040690
3603041,16653628
3610762,20258613
3610762,26846437
3611615,21785146
3630389,26660184
3635623,25915803
3674033,26441306
3675325,7587178
3688398,19175326
3697640,26179521
3705150,27156718
3705723,26645392
3711382,25451822
3712825,27014290
3713553,27239932
3734061,4580190
3736720,25910045
3759560,21660640
3776307,26403097
3778047,26183594
3788499,2084375
3835277,27187659
3835692,26314869
3840771,24626642
3840771,25718439
3848516,15762225
3850056,26333327
3866347,6143812
3866347,7448166
3867091,26207076
3873677,6870771
3875380,25726400
3885787,2384237
3889946,27626190
3899316,25975003
3902914,26215593
3911000,27635624
3915543,26702313
3918248,26250263
3938389,16755621
3941640,3017152
3951186,25656887
3958302,1551967
3958302,9829561
3958302,12499943
3958421,8938954
3961184,9770830
3961184,26851329
3977377,17709036
3977377,26551777
3977377,26850071
3981341,26179276
3981341,26252365
3982380,26407855
3988577,25944452
3997558,17814780
4005860,27634790
4027767,26427203
4028185,1193730
4030296,26389198
4034259,19035515
4044362,1354357
4073091,3055842
4083255,26355539
4085772,25286692
4085772,25897813
4091512,27622155
4093637,3564874
4097221,25924141
4097759,25719344
4100352,15214005
4104037,26665923
4104037,27250107
4113541,25401830
4113541,26624272
4127874,26677482
4137533,25650446
4139731,15469659
4139731,25229806
4141785,26061084
4145576,22432584
4152348,26810453
4161539,25277189
4167555,8704342
4167555,25918285
4190751,3269502
4204125,15520032
4208600,26118696
4223342,4596729
4226776,10443510
4226776,23405939
4226820,25658268
4229835,27027440
4248798,25681276
4267053,6372182
4274980,9764651
4275362,20833593
4275362,25999343
4276879,11347105
4311825,25568092
4314219,11078166
4315947,18633465
4317590,25667819
4325685,7522708
4330175,15244249
4334822,26191425
4334822,27026039
4340835,25876929
4345903,6760718
4372801,19861280
4374412,7006342
4392781,25953706
4394977,14708570
4394977,26086534
4399649,26644785
4406479,26327165
4418018,26713580
4423564,26331399
4424693,20115433
4424693,25263427
4426833,26629749
4431636,26513284
4431897,26250847
4436456,7151862
4437246,16310364
4442806,3264829
4444662,18244264
4444662,26993549
4452560,25944217
4459896,26775708
4462166,26520129
4468979,25300749
4473983,12921569
4480614,25950108
4483464,26632252
4484354,25204489
4484354,26274433
4499018,21256199
4502920,26523751
4502920,26596447
4512049,26885858
4540683,26668760
4541141,26997293
4543643,25216997
4554586,26568958
4556176,13447730
4558412,8383905
4559616,2601961
4562034,26417641
4571036,26221942
4591164,26638163
4591268,25534753
4595470,7265557
4595470,26208800
4598734,24588960
4620893,5360247
4625645,4269436
4627335,15649712
4627335,25155684
4633522,26296081
4633522,26758118
4642646,14332977
4651133,26395781
4652876,25925889
4663489,7041757
4663489,25878218
4675227,1855557
4677054,27351839
4686786,9052227
4704556,26748570
4732435,25307063
4735402,21161864
4747835,26437875
4760985,21344688
4760985,25937042
4764647,27383096
4792054,25423564
4795060,15548076
4808457,9371706
4811803,26174397
4812613,25312080
4815777,25947500
4815777,26064623
4816269,15311076
4816613,12216010
4816613,26853878
4817419,25311407
4828083,26390433
4830045,26836640
4830618,25917991
4830618,27026942
4831140,13523588
4835615,17882511
4835735,27158667
4838103,26991178
4838615,7062057
4840497,14905839
4840497,17134972
4855335,26414111
4866188,1137616
4889374,21940132
4902816,19765557
4923881,7684614
4929137,11664849
4932010,10155275
4947087,26132239
4949132,27340669
4950347,27476405
4960172,19236653
4960172,26355666
4967519,25911268
4977179,27471954
5000014,25295634
5002780,15331281
5007224,26747569
5009697,15469178
5010721,20450813
5016564,25679543
5017180,26168182
5023742,18840273
5031569,26635625
5048491,10333503
5048491,25533337
5053935,8211574
5060115,25451610
5061235,25662791
5068019,26899023
5102125,26409850
5103053,656144
5109550,25314121
5118543,26291703
5118543,26894571
5120739,26412896
5123908,19008012
5123908,26198371
5133043,13781856
