"rbd_cc","seats_total","seats_regular","seats_priority","seats_high_performance","seats_female"
"8411_131000000133",126,31,38,19,38
"8411_231000000133",11,3,3,2,3
"8411_341041005133",6,1,2,1,2
"8411_351052009133",19,4,6,3,6
"8411_351052010133",4,1,1,1,1
"8411_361061003133",1,1,0,0,0
"8411_361063009133",2,0,1,0,1
"8411_441041005133",10,2,3,2,3
"8411_451052009133",4,1,1,1,1
"8411_451052010133",6,1,2,1,2
"8411_461061003133",4,1,1,1,1
"8411_461063009133",13,3,4,2,4
"8412_401000000133",60,15,18,9,18
"8412_501000000133",1,1,0,0,0
"8412_111000000133",2,0,1,0,1
"8412_211000000133",0,0,0,0,0
"8412_311000000133",2,0,1,0,1
"8412_411000000133",2,0,1,0,1
"8412_511000000133",4,1,1,1,1
"8412_611000000133",0,0,0,0,0
"8412_711000000133",5,0,2,1,2
"8412_811000000133",0,0,0,0,0
"8413_401000000133",32,7,10,5,10
"8413_501000000133",19,4,6,3,6
"8413_111000000133",19,4,6,3,6
"8413_211000000133",2,0,1,0,1
"8413_311000000133",2,0,1,0,1
"8413_411000000133",0,0,0,0,0
"8413_511000000133",0,0,0,0,0
"8413_611000000133",1,1,0,0,0
"8413_711000000133",0,0,0,0,0
"8413_811000000133",20,5,6,3,6
"8415_401000000133",25,5,8,4,8
"8415_501000000133",15,5,4,2,4
"8415_111000000133",29,7,9,4,9
"8415_211000000133",19,4,6,3,6
"8415_311000000133",9,2,3,1,3
"8415_411000000133",6,1,2,1,2
"8415_511000000133",15,5,4,2,4
"8415_611000000133",13,3,4,2,4
"8415_711000000133",4,1,1,1,1
"8415_811000000133",6,1,2,1,2
"8417_401000000133",10,2,3,2,3
"8417_501000000133",8,3,2,1,2
"8417_111000000133",11,3,3,2,3
"8417_211000000133",7,2,2,1,2
"8417_311000000133",0,0,0,0,0
"8417_411000000133",1,1,0,0,0
"8417_511000000133",5,0,2,1,2
"8417_611000000133",0,0,0,0,0
"8417_711000000133",3,1,1,0,1
"8417_811000000133",2,0,1,0,1
"8419_111000000133",5,0,2,1,2
"8419_211000000133",2,0,1,0,1
"8419_311000000133",4,1,1,1,1
"8419_411000000133",5,0,2,1,2
"8419_511000000133",5,0,2,1,2
"8419_611000000133",5,0,2,1,2
"8419_711000000133",3,1,1,0,1
"8419_811000000133",2,0,1,0,1
"8420_401000000133",8,3,2,1,2
"8420_501000000133",8,3,2,1,2
"8420_111000000133",6,1,2,1,2
"8420_211000000133",5,0,2,1,2
"8420_311000000133",5,0,2,1,2
"8420_411000000133",6,1,2,1,2
"8420_511000000133",6,1,2,1,2
"8420_611000000133",4,1,1,1,1
"8420_711000000133",1,1,0,0,0
"8420_811000000133",5,0,2,1,2
"8421_401000000133",60,15,18,9,18
"8421_501000000133",12,2,4,2,4
"8421_111000000133",13,3,4,2,4
"8421_211000000133",10,2,3,2,3
"8421_311000000133",4,1,1,1,1
"8421_411000000133",0,0,0,0,0
"8421_511000000133",0,0,0,0,0
"8421_611000000133",4,1,1,1,1
"8421_711000000133",0,0,0,0,0
"8421_811000000133",0,0,0,0,0
"8421_131000000133",5,0,2,1,2
"8421_231000000133",0,0,0,0,0
"8421_331000000133",1,1,0,0,0
"8421_431000000133",2,0,1,0,1
"8422_401000000113",35,10,10,5,10
"8422_501000000113",18,5,5,3,5
"8422_111000000113",15,5,4,2,4
"8422_211000000113",14,4,4,2,4
"8422_311000000113",0,0,0,0,0
"8422_411000000113",10,2,3,2,3
"8422_511000000113",4,1,1,1,1
"8422_611000000113",6,1,2,1,2
"8422_711000000113",6,1,2,1,2
"8422_811000000113",3,1,1,0,1
"8422_131000000113",6,1,2,1,2
"8422_231000000113",2,0,1,0,1
"8422_331000000113",10,2,3,2,3
"8422_431000000113",0,0,0,0,0
"8423_401000000133",5,0,2,1,2
"8423_501000000133",5,0,2,1,2
"8423_111000000133",5,0,2,1,2
"8423_211000000133",3,1,1,0,1
"8423_311000000133",5,0,2,1,2
"8423_411000000133",0,0,0,0,0
"8423_511000000133",4,1,1,1,1
"8423_611000000133",3,1,1,0,1
"8423_711000000133",2,0,1,0,1
"8423_811000000133",3,1,1,0,1
"8424_711000000133",34,9,10,5,10
"8424_811000000133",8,3,2,1,2
"8424_131000000133",112,27,34,17,34
"8424_231000000133",23,6,7,3,7
"8424_341041002133",8,3,2,1,2
"8424_341041005133",17,4,5,3,5
"8424_351058033133",3,1,1,0,1
"8424_441041002133",9,2,3,1,3
"8424_441041005133",9,2,3,1,3
"8425_131000000133",120,30,36,18,36
"8425_231000000133",22,5,7,3,7
"8425_361061003133",6,1,2,1,2
"8425_361063011133",0,0,0,0,0
"8425_361064001133",5,0,2,1,2
"8425_381081003133",1,1,0,0,0
"8425_461061003133",8,3,2,1,2
"8425_461063011133",5,0,2,1,2
"8425_461064001133",7,2,2,1,2
"8425_481081003133",4,1,1,1,1
"8427_131000000133",138,35,41,21,41
"8427_231000000133",33,8,10,5,10
"8427_351051005133",0,0,0,0,0
"8427_351051009133",4,1,1,1,1
"8427_351052009133",0,0,0,0,0
"8427_351052010133",1,1,0,0,0
"8427_351052013133",4,1,1,1,1
"8427_351053014133",4,1,1,1,1
"8427_351058035133",5,0,2,1,2
"8427_451051005133",3,1,1,0,1
"8427_451051009133",6,1,2,1,2
"8427_451052009133",0,0,0,0,0
"8427_451052010133",0,0,0,0,0
"8427_451052013133",6,1,2,1,2
"8427_451053014133",10,2,3,2,3
"8427_451058035133",5,0,2,1,2
"8429_131000000133",175,45,52,26,52
"8429_231000000133",58,15,17,9,17
"8429_331000000133",57,14,17,9,17
"8429_431000000133",34,9,10,5,10
"8430_131000000133",89,22,27,13,27
"8430_231000000133",30,8,9,4,9
"8430_331000000133",8,3,2,1,2
"8430_361063009133",12,2,4,2,4
"8430_361064008133",12,2,4,2,4
"8430_431000000133",20,5,6,3,6
"8430_461063009133",17,4,5,3,5
"8430_461064008133",5,0,2,1,2
"8433_401000000131",25,5,8,4,8
"8433_401000000132",25,5,8,4,8
"8433_501000000131",14,4,4,2,4
"8433_501000000132",25,5,8,4,8
"8433_111000000133",40,10,12,6,12
"8433_211000000133",41,11,12,6,12
"8433_311000000133",28,8,8,4,8
"8433_411000000133",27,7,8,4,8
"8433_511000000133",22,5,7,3,7
"8433_611000000133",26,6,8,4,8
"8433_711000000133",28,8,8,4,8
"8433_811000000133",29,7,9,4,9
"8434_401000000133",35,10,10,5,10
"8434_501000000133",7,2,2,1,2
"8434_111000000133",47,12,14,7,14
"8434_211000000133",41,11,12,6,12
"8434_311000000133",32,7,10,5,10
"8434_411000000133",35,10,10,5,10
"8434_511000000133",29,7,9,4,9
"8434_611000000133",21,6,6,3,6
"8434_711000000133",24,6,7,4,7
"8434_811000000133",33,8,10,5,10
"8435_401000000133",30,8,9,4,9
"8435_501000000133",39,9,12,6,12
"8435_111000000133",45,10,14,7,14
"8435_211000000133",40,10,12,6,12
"8435_311000000133",36,9,11,5,11
"8435_411000000133",35,10,10,5,10
"8435_511000000133",32,7,10,5,10
"8435_611000000133",31,8,9,5,9
"8435_711000000133",33,8,10,5,10
"8435_811000000133",23,6,7,3,7
"8436_401000000133",35,10,10,5,10
"8436_501000000133",9,2,3,1,3
"8436_111000000133",24,6,7,4,7
"8436_211000000133",18,5,5,3,5
"8436_311000000133",8,3,2,1,2
"8436_411000000133",16,4,5,2,5
"8436_511000000133",10,2,3,2,3
"8436_611000000133",50,12,15,8,15
"8436_711000000133",48,13,14,7,14
"8436_811000000133",34,9,10,5,10
"8437_401000000133",30,8,9,4,9
"8437_501000000133",23,6,7,3,7
"8437_111000000133",24,6,7,4,7
"8437_211000000133",22,5,7,3,7
"8437_311000000133",20,5,6,3,6
"8437_411000000133",17,4,5,3,5
"8437_511000000133",19,4,6,3,6
"8437_611000000133",20,5,6,3,6
"8437_711000000133",18,5,5,3,5
"8437_811000000133",16,4,5,2,5
"8438_401000000133",48,13,14,7,14
"8438_501000000133",47,12,14,7,14
"8438_111000000133",47,12,14,7,14
"8438_211000000133",31,8,9,5,9
