"mrun","rbd_cc","preferencia_postulante"
2946,"8424_231000000133",1
2946,"24305_231000000133",2
2946,"24307_231000000133",3
2946,"8454_231000000123",4
16606,"8421_411000000133",1
16606,"8412_411000000133",2
16606,"24317_411000000133",3
22965,"8455_231000000113",1
22965,"8457_231000000113",2
22965,"24305_231000000133",3
22965,"24338_231000000133",4
25712,"24311_511000000133",1
25712,"8448_511000000133",2
41209,"24307_131000000133",1
41209,"8454_131000000123",2
41328,"24327_811000000133",1
41328,"24307_811000000133",2
41328,"11680_811000000133",3
41328,"8458_811000000133",4
72709,"8427_131000000133",1
72709,"8425_131000000133",2
72709,"8430_131000000133",3
76216,"8429_131000000133",1
76216,"8442_131000000233",2
76216,"24307_131000000133",3
76216,"24327_131000000133",4
78593,"11680_711000000133",1
78593,"24307_711000000133",2
81845,"24327_131000000133",1
81845,"24307_131000000133",2
81845,"11680_131000000133",3
81845,"8429_131000000133",4
89091,"24316_131000000133",1
89091,"8430_131000000133",2
89091,"8425_131000000133",3
90525,"24316_131000000133",1
90525,"24305_131000000133",2
90525,"24307_131000000133",3
90525,"11680_131000000133",4
90525,"8442_131000000233",5
100294,"8427_131000000133",1
100294,"24316_131000000133",2
100294,"8425_131000000133",3
100709,"8455_511000000113",1
100709,"24305_511000000133",2
100709,"24311_511000000133",3
100709,"8457_511000000113",4
100709,"24307_511000000233",5
100709,"8444_511000000133",6
104064,"11680_131000000133",1
104064,"24307_131000000133",2
104064,"24316_131000000133",3
104064,"8442_131000000233",4
129126,"8483_811000000133",1
156889,"8427_131000000133",1
156889,"8425_131000000133",2
156889,"8424_131000000133",3
166109,"24307_431000000133",1
166109,"8429_431000000133",2
166109,"24305_431000000133",3
166109,"8430_431000000133",4
212638,"8455_131000000113",1
212638,"24307_131000000133",2
212638,"11680_131000000133",3
240857,"8421_131000000133",1
240857,"8411_131000000133",2
240857,"24300_131000000133",3
241238,"24327_131000000133",1
241238,"24307_131000000133",2
241238,"11680_131000000133",3
251465,"8458_611000000133",1
251465,"8436_611000000133",2
263518,"24338_711000000133",1
263518,"24305_711000000133",2
263518,"11678_711000000133",3
263518,"8455_711000000113",4
280209,"11680_411000000133",1
280209,"24307_411000000233",2
314873,"24305_511000000133",1
314873,"11680_511000000133",2
314873,"24327_511000000133",3
323662,"8425_131000000133",1
323662,"24316_131000000133",2
323662,"8442_131000000233",3
337074,"11680_431000000133",1
337074,"24307_431000000133",2
359085,"24305_231000000133",1
359085,"24327_231000000133",2
359085,"11680_231000000133",3
359085,"24307_231000000133",4
364072,"24327_811000000133",1
364072,"8438_811000000133",2
365232,"24311_511000000133",1
365232,"11680_511000000133",2
365232,"24327_511000000133",3
365232,"24307_511000000233",4
365232,"24305_511000000133",5
366418,"24327_131000000133",1
366418,"24329_131000000123",2
366418,"8424_131000000133",3
399536,"24327_131000000133",1
399536,"24316_131000000133",2
399536,"8429_131000000133",3
399536,"8424_131000000133",4
399536,"8430_131000000133",5
411871,"24327_611000000133",1
411871,"8454_611000000123",2
419351,"11680_711000000133",1
419351,"24338_711000000133",2
419351,"8444_711000000133",3
444442,"24305_331000000133",1
444442,"24327_331000000133",2
444442,"8455_331000000113",3
453891,"24317_131000000133",1
453891,"8411_131000000133",2
462640,"24327_811000000133",1
462640,"24305_811000000133",2
462640,"11680_811000000133",3
462640,"8458_811000000133",4
486464,"8449_711000000133",1
486464,"24313_711000000133",2
486464,"8441_711000000133",3
490806,"24317_611000000133",1
490806,"8412_611000000133",2
490806,"8421_611000000133",3
490806,"8413_611000000133",4
490806,"8415_611000000133",5
492040,"24300_131000000133",1
492040,"8411_131000000133",2
500774,"11680_711000000133",1
500774,"24338_711000000133",2
504301,"11680_511000000133",1
504301,"24327_511000000133",2
510385,"8436_711000000133",1
512887,"8411_131000000133",1
512887,"24300_131000000133",2
516372,"8411_131000000133",1
