"mrun_1","mrun_2"
41209,8691914
78593,280209
90525,25882097
90525,26440413
100709,25676013
104064,2206270
149007,27011969
166109,4314202
166109,27001318
366418,23235067
415602,5715477
444442,911393
453891,26421979
453891,26424331
486464,9678319
504301,26034216
529556,20201677
538670,26183411
579049,25367921
733805,25884505
766891,26910827
782140,13808665
815277,2056611
820276,26788022
834917,26153059
844721,3464811
853343,25352824
883939,18152308
981739,25153222
987450,26441513
987974,26423474
1014521,22296252
1019851,25182200
1019851,25878898
1039370,25728269
1053632,9391585
1128447,25960359
1134806,2035779
1134806,25770904
1186791,27006143
1293977,25927096
1297194,26338099
1321141,26172395
1348695,27031210
1355939,19595208
1365932,26441305
1375941,26385178
1391807,8824156
1486116,1512389
1527951,26179182
1796112,25688634
1819027,24222501
1835160,26518577
1847482,2311409
1847482,25403667
1847482,25654143
1907424,26093629
1924766,11801642
1930001,10754809
1956356,8365103
1965955,26823698
1967026,25153262
1969384,20460266
2035779,25770904
2162833,5499596
2169904,27393852
2191139,1191399
2219379,18068270
2229578,26301717
2283458,26517312
2311409,25403667
2311409,25654143
2314394,25956793
2326344,26430230
2347906,26771100
2371125,25190390
2433849,26520613
2434973,25543265
2446191,26647859
2446191,27052219
2491892,16302512
2502387,7701322
2550443,25362031
2552141,516372
2572357,26556690
2590198,26449930
2624064,17830267
2700230,26210317
2707616,27548006
2779587,25366960
2791334,22321206
2796696,25549614
2830827,25387976
2830827,27001886
3054560,27159500
3058671,10179186
3058671,25727052
3058671,26172069
3138005,25674675
3167082,8006686
3201105,26320189
3319410,27633128
3475674,16814557
3549633,26819220
3603399,26501994
3656375,25698744
3688398,19175326
3689598,27012465
3794911,26667971
3804336,25372384
3810701,21897663
3823555,26825300
3926839,26412066
3953008,12404620
3958347,16548460
3994344,19891850
3999696,26126129
4031835,3672194
4135793,20249051
4138972,21249188
4192191,8932659
4205229,11495911
4217785,1555089
4303008,19886215
4314202,27001318
4320398,25723389
4339411,11384253
4383882,19744421
4393236,26393140
4397554,510385
4399328,16413992
4399328,25723554
4485889,25549385
4500016,21461955
4521982,4162512
4587828,17523382
4587828,27029298
4590109,11735650
4590109,25527861
4644311,9164497
4644311,27624758
4668459,25885774
4787721,22251382
4811803,26174397
4849431,19458206
4859723,17480996
4922280,7223711
4960003,25908756
4989386,819615
5001213,26662937
5160798,26195894
5190636,17728409
5198711,26433937
5203199,26092667
5341643,23622130
5344244,2860346
5419884,25775857
5419884,26506990
5420487,25960359
5480774,26814482
5495537,25954727
5623917,25585451
5629226,5925022
5638900,5637680
5735440,27053569
5860191,8603043
5887070,25937915
5943272,22593640
5952432,5635373
5952432,11877801
6010357,24144527
6023629,26443997
6137639,26410634
6153195,26583132
6175957,25722712
6219035,21894872
6236141,13576648
6241332,26213194
6250465,25903261
6341033,22722601
6370459,25773481
6385947,26443919
6403918,26770067
6422954,26518990
6427665,11644429
6457121,21311434
6520187,25729426
6567657,26794780
6635165,26172671
6635165,26402251
6685956,26520635
6698919,7316208
6754922,9041277
6754922,26247428
6839942,14160451
6866565,9851758
6955286,26683553
6986169,26191953
6995330,26032911
7122674,26172076
7147382,26350730
7147382,27377091
7149521,25292742
7163116,23614120
7163116,25697120
7183956,4903994
7194634,12703360
7209781,26512426
7217994,11692425
7217994,26036616
7237802,26430454
7241002,10203073
7271382,26989026
7276125,25717984
7278580,25211601
