"mrun","female","priority","high_performance"
2946,0,1,0
16606,0,0,0
22965,1,0,0
25712,0,1,0
41209,0,0,1
41328,1,0,0
72709,1,0,1
76216,0,1,0
78593,0,1,0
81845,0,0,1
89091,1,1,0
90525,1,1,0
100294,1,1,0
100709,1,1,0
104064,0,1,0
129126,0,0,0
156889,0,1,1
166109,0,1,1
212638,1,1,0
240857,1,1,0
241238,1,0,1
251465,1,1,0
263518,1,0,0
280209,0,1,0
314873,1,0,0
323662,1,1,0
337074,1,0,0
359085,1,0,0
364072,1,1,1
365232,1,0,0
366418,0,1,0
399536,1,1,0
411871,0,0,0
419351,1,1,0
444442,1,0,0
453891,0,1,0
462640,1,0,0
486464,0,1,0
490806,1,0,0
492040,1,1,1
500774,1,0,0
504301,0,0,0
510385,1,1,0
512887,1,0,0
516372,1,1,0
529556,0,1,0
530958,0,1,0
538670,1,1,0
565019,1,1,0
565693,1,1,0
579049,1,1,0
603164,0,0,0
605690,0,0,0
618587,0,0,0
635214,0,0,0
636466,0,1,0
640074,1,0,0
644193,0,1,0
649451,1,1,0
668903,1,0,0
677194,0,1,1
687278,0,1,0
691482,1,1,1
724953,0,0,0
733805,1,0,0
744720,1,0,0
757552,0,0,1
766891,0,0,0
781275,1,1,0
782140,1,0,0
801558,1,0,0
815277,0,0,0
819615,0,0,0
820276,0,0,0
834917,1,1,0
835288,0,1,1
844721,1,1,0
853343,0,0,0
874807,0,1,0
883474,1,1,0
883939,1,0,0
887283,1,1,0
889689,0,1,0
890730,1,1,1
911393,0,0,0
922691,1,1,0
924931,1,1,0
925579,0,1,0
929999,1,0,1
944955,0,1,0
961934,1,1,0
981739,1,1,0
987450,0,0,0
987974,1,0,0
999740,0,1,0
1014717,1,1,1
1019851,1,1,0
1026482,1,1,0
1039370,1,0,1
1043239,0,1,0
1053632,0,0,0
1066572,1,0,0
1090756,1,1,1
1091213,0,1,0
1104148,0,1,0
1128447,1,1,1
1134806,0,1,0
1159528,0,0,0
1160603,1,1,0
1186791,0,1,0
1190569,0,1,0
1191399,1,1,0
1210103,1,0,0
1214765,0,1,0
1217524,0,0,0
1225185,1,1,0
1232100,0,0,1
1239441,0,1,0
1247065,1,1,0
1251879,1,0,0
1252823,1,0,0
1277281,0,1,0
1293124,0,1,0
1293977,1,0,0
1297194,0,1,0
1309606,0,0,0
1321141,1,0,0
1323273,1,1,1
1324547,0,1,0
1332045,1,1,0
1348540,1,0,0
1348695,1,1,0
1355939,0,0,0
1356234,0,1,0
1359009,1,1,1
1360920,0,1,1
1365932,0,1,0
1366898,1,1,0
1375941,1,0,1
1391807,0,1,0
1404194,0,0,0
1405197,0,1,1
1437479,1,0,0
1441930,0,0,0
1456534,0,1,0
1486116,0,1,0
1489193,1,0,1
1496431,0,0,0
1506369,0,0,0
1512389,1,1,0
1527951,1,1,0
1538289,0,1,0
1546920,0,0,0
1551657,1,0,1
1574448,0,0,0
1587397,0,1,0
1589123,0,0,0
1619869,1,0,0
1635902,0,1,0
1638083,0,0,0
1663184,1,0,1
1686724,1,0,0
1700966,0,1,0
1701294,1,0,0
1717805,0,0,0
1732149,0,0,1
1732974,1,1,0
1776121,1,0,1
1806487,1,1,0
1815684,0,0,0
1819006,0,1,0
1819027,0,1,0
1835160,1,0,0
1842193,1,1,0
1842957,1,0,0
1844354,1,0,1
1847482,0,1,0
1854333,1,1,0
1878634,1,1,1
1888810,1,0,0
1894021,1,0,0
1904695,0,0,0
1907424,1,1,0
1924766,0,0,0
1930001,0,1,0
1939722,1,0,1
1940022,1,0,0
1945837,0,1,0
1953365,0,1,0
1956356,0,0,0
1962105,1,0,0
1964844,0,1,0
1965955,1,1,0
1967026,1,1,0
1967855,0,0,0
1968719,0,1,0
1969384,1,1,0
1983019,0,0,0
2003956,1,0,0
2023307,0,0,1
2029079,1,1,0
2035346,0,0,1
2035779,0,1,0
2037386,0,1,0
2042853,1,1,0
2043949,0,0,0
2046020,1,0,0
2052527,1,0,0
2056611,0,0,0
2058430,1,1,0
2061708,1,1,0
2063087,1,1,0
2069154,1,0,0
2070515,1,1,0
2072738,1,1,0
2077054,1,0,0
2081051,0,0,0
2084751,1,1,0
2086800,1,0,1
2091184,1,1,1
2095053,1,1,0
2114243,0,1,0
2137138,1,0,0
2157437,0,1,0
2162833,0,1,0
2168048,1,0,0
2169904,1,1,0
2191139,1,1,0
2192387,0,1,1
2203828,0,1,1
2204327,1,0,0
2206270,0,1,1
2219379,1,0,1
2229578,1,0,0
2232067,1,1,0
2252427,1,0,0
2254096,1,0,0
2258258,0,1,0
2263362,0,1,0
2283458,1,0,0
2286438,0,1,0
2298042,0,1,0
2302324,1,0,0
2306915,0,0,1
2309281,0,1,0
2309442,0,0,0
2311409,0,1,0
2314394,0,1,0
2326344,0,1,0
2347906,0,1,0
2371125,0,1,0
2375985,1,0,0
2376149,1,1,0
2378773,0,1,0
2401170,0,1,0
2410423,0,0,0
2411458,0,1,1
2424784,0,1,0
2434973,1,1,0
2435479,1,1,0
2446191,0,1,0
2447025,1,1,1
2454957,0,0,0
2462414,0,0,1
2462782,0,1,0
2472906,0,0,0
2491892,0,1,0
2502387,0,0,0
2507665,0,1,0
2527486,0,1,0
2550443,0,0,1
2552141,1,1,1
2566455,1,0,1
2566646,1,0,0
2572357,0,0,1
2590198,1,0,1
2608566,1,0,0
2616508,0,1,0
2624064,1,1,0
2626105,0,1,0
2630149,1,1,0
2630445,0,1,0
2653799,0,1,0
2667594,0,0,0
2702638,0,0,0
2705007,0,1,0
2707616,1,1,0
2715200,1,1,0
2720424,0,1,0
2727098,1,0,0
2732201,1,1,0
2763780,1,1,0
2767170,1,0,0
2779587,0,0,0
2785650,1,1,0
2790926,1,0,0
2796696,1,1,0
2806680,0,1,1
2820258,1,1,0
2830827,0,1,0
2835533,0,0,0
2860346,0,1,0
2911392,1,1,0
2913798,0,0,0
2918855,1,1,1
2926664,0,1,0
2948894,0,0,0
2951071,0,1,0
2995131,1,1,0
3006916,1,1,0
3027246,0,1,0
3054560,0,0,0
3058671,1,0,0
3060825,0,0,0
3062415,1,0,0
3075315,1,1,0
3085572,0,0,0
3120117,0,1,0
3124333,1,0,0
3138005,0,1,0
3145956,0,0,0
3148353,0,1,0
3158086,0,0,0
3168939,0,0,0
3188563,1,1,0
3201105,0,0,0
3226844,1,1,0
3227415,1,1,0
3247610,1,0,0
3255643,0,1,0
3258337,0,1,0
3272130,0,1,0
3296376,1,1,0
3310562,0,0,0
3319410,1,0,1
3324001,1,0,0
3330253,0,0,0
3331215,0,0,0
3349229,1,1,0
3370595,1,0,1
3376797,1,1,0
3392193,1,1,0
3400003,0,0,0
3407736,0,1,0
3420468,1,0,0
3434212,1,1,0
3436832,1,0,0
3438754,0,0,0
3443956,1,1,0
3452160,0,0,0
3464811,1,1,0
3475674,1,1,0
3478971,0,1,0
3480084,0,1,0
3488009,0,1,0
3490186,0,1,0
3491311,1,0,0
3493322,0,1,0
3495885,0,0,1
3499601,0,0,0
3515232,1,1,0
3516532,1,1,0
3516655,0,1,0
3532272,0,0,0
3548337,1,1,0
3549633,0,0,0
3558377,1,1,0
3559565,0,0,0
3563157,0,1,1
3576347,1,0,0
3578147,1,1,0
3602751,1,1,0
3603399,0,1,0
3640852,0,0,0
3644466,1,0,0
3648104,0,1,0
3648803,0,1,1
3649797,0,0,0
3656375,1,0,0
3662358,0,0,0
3667536,1,1,0
3672194,1,0,0
3688398,0,1,0
3689598,1,0,0
3693361,1,1,0
3695019,1,0,0
3696140,1,0,0
3698552,0,0,0
3712788,0,0,0
3719311,1,1,1
3723611,0,1,0
3731413,0,1,0
3762588,1,1,0
3766585,0,0,0
3782332,0,0,0
3794911,1,0,1
3799455,1,0,1
3804336,0,0,1
3810701,0,0,0
3823555,1,1,0
3826789,1,0,0
3853300,0,1,0
3859967,0,1,0
3899789,0,1,0
3904572,1,1,0
3907536,0,0,0
3921019,1,0,1
3923175,1,1,0
3923491,0,1,0
3926839,0,1,1
3930927,1,1,0
3947893,0,1,0
3953008,1,1,0
3953791,1,1,0
3955528,1,1,0
3958347,1,1,1
3964499,1,0,0
3971977,0,0,0
3976180,0,1,1
3989069,0,1,1
3989499,1,0,0
3994344,1,0,0
3994769,0,0,0
3999696,1,1,0
4011344,1,0,1
4023821,0,1,0
4030915,1,1,0
4031835,0,0,0
4033264,0,1,0
4047676,1,0,1
4068331,0,1,0
4072526,1,1,0
4074329,0,1,1
4094412,1,0,0
4109910,0,1,1
4130530,0,1,0
4135793,1,1,0
4138357,0,1,0
4138972,0,0,0
4152797,1,1,0
4162512,1,0,1
4192191,0,1,0
4193992,0,1,0
4202319,0,0,0
4205229,1,0,0
4208960,0,1,0
4212508,0,1,0
4217785,0,1,1
4230441,0,0,0
4237043,1,1,0
4242508,1,0,0
4268727,0,0,0
4270174,0,1,0
4303008,0,0,0
4314202,0,1,0
4318514,0,1,0
4320398,0,1,0
4334268,0,1,0
4339411,0,0,0
4341885,0,0,0
4358469,1,1,0
4372352,1,1,0
4379901,0,0,0
4380140,1,0,0
4383882,0,0,0
4385808,0,0,0
4393236,1,1,0
4397554,1,1,1
4398116,0,1,0
4399328,0,0,0
4410171,1,1,0
4451508,1,1,0
4455781,0,1,0
4455841,0,0,0
4470309,1,0,0
4470513,0,1,0
4477602,1,1,0
4485889,1,0,1
4492622,1,1,1
4499823,0,0,0
4504381,1,0,0
4521982,0,0,1
4529631,1,1,0
4578490,0,1,0
4587828,0,1,0
4590109,1,1,1
4606655,0,0,0
4639528,0,1,0
4640747,1,0,0
4644311,1,0,0
4668459,1,1,1
4697702,1,1,0
4699852,1,1,1
4735839,1,1,0
4751450,1,1,0
4755148,0,1,0
4762483,1,1,1
4785334,1,1,1
4787721,0,1,0
4791873,0,1,0
4798883,1,0,0
4811803,0,0,0
4833050,1,1,0
4834136,0,1,0
4840037,0,0,0
4849431,1,1,0
4859723,0,0,0
4861623,1,1,0
4880818,0,0,0
4884176,0,0,0
4895215,1,0,0
4903994,1,0,0
4922280,0,1,0
4936149,0,0,0
4946379,1,0,0
4981670,0,1,0
4989386,1,0,0
4999910,0,1,1
5001213,0,0,0
5016146,0,1,1
5020897,0,1,0
5043643,1,0,1
5046407,0,0,1
5070788,1,1,0
5091273,1,0,0
5111857,1,0,0
5159287,1,0,0
5160798,0,1,0
5185621,1,1,0
5189713,0,0,1
5190636,0,1,0
5198711,1,1,0
5203199,1,0,0
5210714,0,1,0
5249237,1,0,1
5261691,0,1,0
5263888,1,1,0
5270152,1,1,1
5334666,1,0,0
5341643,1,0,0
5341789,1,0,0
5344244,0,1,0
5349577,1,1,0
5371780,0,1,0
5377886,1,1,0
5401023,0,0,0
5402372,0,1,0
5414813,0,1,1
5415080,1,1,1
5417955,0,1,0
5419884,1,1,0
5480774,1,0,0
5488318,1,0,0
5495537,1,1,0
5499596,0,1,0
5520010,1,1,0
5521140,1,0,0
5522756,0,1,1
5526928,0,1,0
5538797,0,1,0
5568022,0,1,0
5577551,0,0,0
5593164,0,0,0
5595286,1,0,1
5603940,1,1,0
5616176,0,0,0
5616853,1,1,0
5623917,1,0,0
5629226,1,1,0
5635373,0,1,0
5637680,0,1,0
5638900,0,1,0
5661452,0,0,0
5666829,1,1,0
5687623,0,0,0
5699368,1,1,0
5704360,0,1,1
5715477,0,0,0
5731762,1,0,0
5735440,1,0,0
5746689,1,0,0
5755441,1,1,0
