"rbd_cc","vacantes"
"2102_131000000113",234
"2102_231000000113",81
"2102_341041005113",15
"2102_361061003113",16
"2102_361064001113",6
"2102_361064008113",4
"2102_441041005113",18
"2102_461061003113",12
"2102_461064001113",3
"2102_461064008113",30
"2103_131000000133",321
"2103_231000000133",37
"2103_351052010133",39
"2103_351052013133",10
"2103_351053014133",48
"2103_351054018133",12
"2103_451052010133",3
"2103_451052013133",17
"2103_451053014133",5
"2103_451054018133",0
"2104_131000000133",440
"2104_231000000133",76
"2104_341041002133",14
"2104_341041005133",50
"2104_351058033133",8
"2104_351058034133",4
"2104_441041002133",4
"2104_441041005133",7
"2104_451058033133",2
"2104_451058034133",0
"2105_131000000133",335
"2105_231000000133",38
"2105_351051006133",3
"2105_351051009133",1
"2105_351052009133",1
"2105_351053014133",2
"2105_351054018133",1
"2105_351055023133",5
"2105_451051006133",0
"2105_451051009133",3
"2105_451052009133",3
"2105_451053014133",4
"2105_451054018133",1
"2105_451055023133",2
"2109_711000000113",69
"2109_811000000113",7
"2109_131000000113",108
"2109_231000000113",29
"2109_331000000113",47
"2109_431000000113",25
"2110_711000000131",400
"2110_811000000132",17
"2110_131000000132",30
"2110_231000000132",38
"2110_331000000131",6
"2110_431000000131",1
"2111_131000000133",200
"2111_231000000133",28
"2111_361061003133",14
"2111_361064008133",35
"2111_461061003133",24
"2111_461064008133",41
"2112_401000000121",35
"2112_401000000122",35
"2112_501000000121",27
"2112_501000000122",25
"2112_111000000122",35
"2112_211000000122",13
"2112_311000000122",18
"2112_411000000122",15
"2112_511000000121",8
"2112_611000000121",14
"2112_711000000121",18
"2112_811000000121",48
"2114_401000000111",60
"2114_501000000111",26
"2114_111000000113",70
"2114_211000000113",20
"2114_311000000113",35
"2114_411000000113",32
"2114_511000000113",33
"2114_611000000113",49
"2114_711000000113",57
"2114_811000000113",59
"2115_401000000131",35
"2115_501000000131",4
"2115_111000000131",16
"2115_211000000131",12
"2115_311000000133",3
"2115_411000000133",8
"2115_511000000133",8
"2115_611000000133",2
"2115_711000000133",3
"2115_811000000133",4
"2116_401000000131",40
"2116_501000000131",30
"2116_111000000131",64
"2116_211000000131",45
"2116_311000000133",20
"2116_411000000133",25
"2116_511000000133",37
"2116_611000000133",20
"2116_711000000133",30
"2116_811000000133",23
"2118_401000000131",30
"2118_501000000131",15
"2118_111000000131",44
"2118_211000000131",16
"2118_311000000133",14
"2118_411000000133",9
"2118_511000000133",14
"2118_611000000133",18
"2118_711000000133",15
"2118_811000000133",11
"2119_401000000131",20
"2119_501000000131",9
"2119_111000000131",24
"2119_211000000131",12
"2119_311000000131",6
"2119_411000000131",2
"2119_511000000131",13
"2119_611000000131",4
"2119_711000000131",5
"2119_811000000131",3
"2120_401000000131",25
"2120_401000000132",25
"2120_501000000131",20
"2120_501000000132",30
"2120_111000000131",59
"2120_211000000131",16
"2120_311000000133",8
"2120_411000000133",15
"2120_511000000133",9
"2120_611000000133",13
"2120_711000000133",17
"2120_811000000133",24
"2121_111000000112",105
"2121_211000000112",41
"2121_311000000112",18
"2121_411000000112",25
"2121_511000000111",14
"2121_611000000111",36
"2121_711000000111",73
"2121_811000000111",65
"2122_401000000133",33
"2122_501000000133",19
"2122_111000000133",48
"2122_211000000133",36
"2122_311000000133",24
"2122_411000000133",19
"2122_511000000133",27
"2122_611000000133",27
"2122_711000000133",24
"2122_811000000133",30
"2123_711000000133",40
"2123_811000000133",53
"2123_131000000133",183
"2123_231000000133",51
"2123_351053014133",3
"2123_351054018133",2
"2123_351054019133",5
"2123_351054020133",3
"2123_451053014133",15
"2123_451054018133",2
"2123_451054019133",3
"2123_451054020133",1
"2124_401000000132",40
"2124_501000000131",20
"2124_111000000131",11
"2124_211000000131",27
"2124_311000000133",8
"2124_411000000133",3
"2124_511000000133",26
"2124_611000000133",4
"2124_711000000133",19
"2124_811000000133",8
"2124_131000000133",26
"2124_231000000133",19
"2124_351053014133",11
"2124_361064001133",13
"2124_451053014133",22
"2124_461064001133",4
"2125_401000000131",39
"2125_501000000132",21
"2125_111000000132",18
"2125_211000000132",1
"2125_311000000132",6
"2125_411000000132",38
"2125_511000000131",33
"2125_611000000131",30
"2125_711000000131",30
"2125_811000000131",11
"2126_401000000131",35
"2126_501000000131",21
"2126_111000000131",18
"2126_211000000131",6
"2126_311000000133",10
"2126_411000000133",5
"2126_511000000133",8
"2126_611000000133",4
"2126_711000000133",8
"2126_811000000133",10
"2129_401000000131",30
"2129_401000000132",30
"2129_501000000131",19
"2129_501000000132",18
"2129_111000000131",5
"2129_111000000132",4
"2129_211000000131",3
"2129_211000000132",4
"2129_311000000131",4
"2129_411000000131",3
"2129_511000000131",4
"2129_611000000131",9
"2129_711000000131",15
"2129_811000000131",9
"2131_401000000131",15
"2131_501000000131",12
"2131_111000000131",17
"2131_211000000131",13
"2131_311000000133",8
"2131_411000000133",8
"2131_511000000133",15
"2131_611000000133",10
"2131_711000000133",11
"2131_811000000133",11
"2132_401000000133",28
"2132_501000000133",12
"2132_111000000133",6
"2132_211000000133",4
"2132_311000000133",6
"2132_411000000133",1
"2132_511000000133",7
"2132_611000000133",6
"2132_711000000133",8
"2132_811000000133",7
"2134_131000000133",200
"2134_231000000133",78
"2134_341041005133",76
"2134_361063009133",6
"2134_441041005133",57
"2134_461063009133",1
"2135_401000000133",40
"2135_501000000133",9
