"mrun","rbd_cc","preferencia_postulante"
244,"2166_811000000132",1
244,"2174_811000000131",2
244,"15632_811000000131",3
1173,"15683_611000000133",1
1173,"15664_611000000133",2
1173,"2580_611000000111",3
1173,"2611_611000000133",4
7660,"15820_131000000133",1
7660,"15657_131000000133",2
7660,"15744_131000000133",3
7660,"2339_131000000133",4
12742,"2411_131000000133",1
12742,"2401_131000000133",2
13138,"2326_131000000131",1
13138,"2309_131000000131",2
13138,"2319_131000000133",3
14858,"2105_131000000133",1
14858,"2104_131000000133",2
14858,"2222_131000000133",3
15565,"2110_131000000132",1
15565,"2167_131000000133",2
15565,"2163_131000000131",3
15565,"2123_131000000133",4
17816,"2309_511000000132",1
17816,"2278_511000000133",2
17816,"2284_511000000133",3
18614,"2166_511000000131",1
18614,"2166_511000000132",2
18614,"2162_511000000131",3
18911,"2454_131000000233",1
18911,"2454_131000000133",2
18911,"2453_131000000133",3
18911,"2444_131000000133",4
20468,"40024_131000000133",1
20468,"15809_131000000133",2
20468,"16932_131000000133",3
20468,"2263_131000000133",4
20468,"2406_131000000133",5
20982,"2105_131000000133",1
20982,"2103_131000000133",2
20982,"2110_131000000132",3
20982,"2123_131000000133",4
20982,"2104_131000000133",5
20982,"2111_131000000133",6
22302,"20364_711000000133",1
22302,"40006_711000000133",2
24293,"40024_131000000133",1
24293,"15809_131000000133",2
24293,"2103_131000000133",3
27054,"2104_131000000133",1
27054,"2109_131000000113",2
27054,"11256_131000000133",3
27054,"2102_131000000113",4
27054,"2110_131000000132",5
27054,"2134_131000000133",6
27572,"2123_131000000133",1
27572,"2111_131000000133",2
27572,"2105_131000000133",3
34490,"2326_231000000131",1
34490,"2319_231000000133",2
34602,"15774_131000000133",1
36362,"2102_131000000113",1
36362,"2104_131000000133",2
36362,"2105_131000000133",3
36362,"15746_131000000133",4
39154,"2103_131000000133",1
39154,"2110_131000000132",2
39154,"2104_131000000133",3
40410,"2580_611000000111",1
40410,"15622_611000000133",2
41683,"15646_511000000133",1
41683,"2207_511000000133",2
42211,"15820_511000000133",1
42211,"2356_511000000111",2
43622,"2174_711000000131",1
43622,"2178_711000000131",2
43622,"2121_711000000111",3
44579,"2355_511000000123",1
44579,"15744_511000000133",2
44579,"2333_511000000133",3
47991,"15657_131000000133",1
47991,"15744_131000000133",2
47991,"15820_131000000133",3
48819,"2103_131000000133",1
48819,"15843_131000000133",2
48819,"2280_131000000133",3
48917,"2110_711000000131",1
48917,"2116_711000000133",2
52392,"15664_131000000133",1
52392,"15683_131000000133",2
52392,"2580_131000000113",3
52632,"15817_511000000133",1
52632,"11256_511000000133",2
53433,"2105_131000000133",1
53433,"2103_131000000133",2
53433,"2124_131000000133",3
57509,"2400_131000000133",1
57509,"11287_131000000133",2
57509,"15502_131000000132",3
57765,"2681_131000000133",1
60228,"15745_611000000133",1
60228,"15593_611000000131",2
60228,"2457_611000000133",3
60493,"2443_131000000133",1
60493,"15583_131000000133",2
60493,"2329_131000000133",3
63824,"40114_431000000133",1
63824,"2309_431000000131",2
72358,"2599_711000000133",1
73504,"2222_131000000133",1
73504,"2233_131000000133",2
73551,"15770_711000000133",1
73551,"2636_711000000133",2
73551,"2654_711000000133",3
73638,"2356_131000000113",1
73638,"15657_131000000133",2
73638,"15744_131000000133",3
73638,"15820_131000000133",4
73874,"2485_171072007133",1
73874,"2401_131000000133",2
73874,"2514_131000000123",3
74856,"40078_811000000133",1
75407,"2401_711000000133",1
75407,"2397_711000000133",2
77982,"40114_811000000133",1
77982,"15724_811000000133",2
80837,"2259_331000000133",1
80837,"15792_331000000133",2
83731,"15583_131000000133",1
83731,"15744_131000000133",2
83731,"15820_131000000133",3
84635,"15700_131000000133",1
84635,"11256_131000000133",2
84635,"2110_131000000132",3
84635,"2150_131000000113",4
86239,"2111_131000000133",1
86239,"2102_131000000113",2
86239,"2166_131000000132",3
86239,"2110_131000000132",4
86239,"11265_131000000133",5
86751,"20364_611000000133",1
86751,"2135_611000000133",2
89560,"2308_811000000133",1
89560,"15601_811000000131",2
89560,"2109_811000000113",3
89592,"2580_511000000111",1
89592,"15683_511000000133",2
89592,"15664_511000000133",3
89592,"2553_511000000133",4
92163,"40024_131000000133",1
92163,"2104_131000000133",2
92163,"2110_131000000132",3
95474,"15817_411000000133",1
95474,"15554_411000000133",2
99319,"2308_231000000133",1
99319,"2326_231000000131",2
99319,"2319_231000000133",3
99319,"2329_231000000133",4
102074,"15720_131000000133",1
103501,"2453_311000000133",1
103501,"15811_311000000131",2
106609,"15769_131000000133",1
106609,"2134_131000000133",2
106609,"2105_131000000133",3
106609,"2102_131000000113",4
106609,"2124_131000000133",5
106609,"2103_131000000133",6
106609,"11256_131000000133",7
