"mrun_1","mrun_2"
22302,26555475
34490,25290919
34602,26572227
39154,24837403
44579,26393015
52392,26845358
52632,26850378
57509,1458695
73551,25696852
80837,9891658
86751,25337459
89448,25777007
94899,25774834
98908,26410651
99319,5964160
106817,25853219
111042,19115491
111042,26834656
112748,25662156
113873,5136942
116946,25721691
118521,25542281
127664,26180129
132804,26520383
133402,26682224
136322,26889004
166223,25720967
171175,26508361
172681,9689448
174586,27218298
176321,26153926
212063,25929995
219663,27099748
221365,2948085
221365,25233084
226881,17056665
232926,9828269
239356,26434153
248533,25178072
270718,25319535
270914,26767691
273603,17063818
273603,26778072
294934,18032829
300954,25449701
304740,26033750
305538,27209484
308360,26808813
321105,26447576
332906,10068942
337210,22785627
346519,26209581
349178,15198418
349557,17518787
351361,26861079
360810,6496915
366505,26565504
374199,8759597
384420,26214342
394432,26773524
396296,2204045
401782,20028438
406605,26787399
406923,26829041
412745,8724867
412745,18798891
424554,26716817
434977,25924288
436836,26578261
452535,25563925
460858,25543070
479809,11391607
495705,26556651
503769,11235141
508352,25663978
518110,26094869
518182,25961041
519316,26523382
522967,25891825
524625,19223713
533128,25530248
536146,25833407
538312,25689140
538980,26126339
538980,27032952
538980,27046604
547607,24063992
547607,26838638
548600,26180129
582517,21095387
583050,25547890
584814,16621864
607133,25903246
622491,8038378
625840,2118673
632276,1460742
632276,26412974
656572,26683233
658995,16776181
658995,21863019
664869,17635829
664869,25530285
666814,13012766
670179,2274739
681169,27211256
683702,27636995
701261,25249042
701261,25315156
703617,25893668
709546,3201638
715618,26633825
723377,26651985
740072,25697022
742686,3018634
750352,17597468
752261,25953639
762135,8392687
767401,24368340
774451,25338890
777756,23496629
777756,26287681
780578,26002841
787121,9565278
787121,26188597
789457,26398347
789589,26520410
795602,25326427
798085,26742297
798526,11723141
806498,26570806
812661,26184302
822106,26211650
835559,5752728
837781,12663152
839340,19624155
840527,26568500
858661,26899388
859051,26678371
863429,13164625
879739,27635963
905380,9979594
905380,19063790
905553,27634010
908515,6129983
909064,21655963
909064,25994031
909299,25216298
909299,26405851
910645,5610157
910645,26876897
923189,8853007
927600,24524856
935103,25733833
940139,17693122
940139,25157423
956487,27220371
958559,26035321
960191,21852771
967427,26913215
978931,20504706
978931,26903487
982084,14748900
982084,26432860
982084,26621552
982084,26754576
988487,25995016
993019,26159026
999498,25357961
1008965,11874561
1014548,26296005
1027904,8328825
1029032,27623711
1035308,27105788
1052929,4282272
1056931,26740118
1057522,26436137
1070115,26324277
1071084,25679254
1072357,26349961
1073707,18626884
1075844,26831565
1083198,8435183
1084019,14125782
1085324,6904879
1085877,27155881
1091807,25778776
1102432,4004492
1111780,16515409
1118841,25274754
1119485,26431592
1124064,14147174
1130157,19796568
1130157,25658219
1133791,26344585
1136521,14689787
1137029,25402008
1139759,1903010
1143340,20598165
1153755,26627492
1156276,26138561
1172661,25959451
1174530,3837448
1175852,14266748
1181019,4432012
1191074,6599139
1210784,12294718
1215450,24722559
1236961,26552317
1238786,26094080
