"rbd_cc","vacantes"
"6751_131000000133",180
"6751_231000000133",67
"6751_341041002133",2
"6751_341041005133",6
"6751_351058034133",1
"6751_441041002133",14
"6751_441041005133",14
"6751_451058034133",6
"6752_131000000133",181
"6752_231000000133",53
"6752_361061003133",3
"6752_361063011133",3
"6752_361064001133",2
"6752_361064008133",8
"6752_461061003133",1
"6752_461063011133",0
"6752_461064001133",1
"6752_461064008133",1
"6753_131000000133",75
"6753_231000000133",12
"6753_331000000133",7
"6753_431000000133",25
"6754_711000000133",81
"6754_811000000133",50
"6754_131000000133",99
"6754_231000000133",63
"6754_331000000133",48
"6754_431000000133",38
"6755_131000000133",164
"6755_231000000133",66
"6755_351051009133",8
"6755_351052009133",3
"6755_351052010133",21
"6755_351052013133",3
"6755_351053014133",0
"6755_451051009133",12
"6755_451052009133",17
"6755_451052010133",12
"6755_451052013133",45
"6755_451053014133",3
"6757_131000000133",36
"6757_231000000133",5
"6757_351058035133",10
"6757_371071001133",12
"6757_371071005133",6
"6757_451058035133",14
"6757_471071001133",11
"6757_471071005133",13
"6759_401000000133",32
"6759_501000000133",32
"6759_111000000133",27
"6759_211000000133",4
"6759_311000000133",7
"6759_411000000133",6
"6759_511000000133",3
"6759_611000000133",6
"6759_711000000133",6
"6759_811000000133",8
"6762_401000000113",84
"6762_501000000113",62
"6762_111000000113",81
"6762_211000000113",68
"6762_311000000113",74
"6762_411000000113",68
"6762_511000000113",89
"6762_611000000113",63
"6762_711000000113",42
"6762_811000000113",65
"6764_401000000133",70
"6764_501000000133",19
"6764_111000000133",29
"6764_211000000133",14
"6764_311000000133",4
"6764_411000000133",11
"6764_511000000133",12
"6764_611000000133",9
"6764_711000000133",15
"6764_811000000133",6
"6765_401000000133",20
"6765_501000000133",14
"6765_111000000133",20
"6765_211000000133",23
"6765_311000000133",16
"6765_411000000133",19
"6765_511000000133",13
"6765_611000000133",12
"6765_711000000133",14
"6765_811000000133",15
"6766_401000000133",75
"6766_501000000133",38
"6766_111000000133",71
"6766_211000000133",39
"6766_311000000133",21
"6766_411000000133",32
"6766_511000000133",25
"6766_611000000133",22
"6766_711000000133",28
"6766_811000000133",14
"6766_131000000133",36
"6766_231000000133",20
"6766_331000000133",10
"6766_431000000133",2
"6767_401000000133",30
"6767_501000000133",10
"6767_111000000133",10
"6767_211000000133",20
"6767_311000000133",12
"6767_411000000133",9
"6767_511000000133",15
"6767_611000000133",12
"6767_711000000133",13
"6767_811000000133",8
"6773_401000000133",30
"6773_501000000133",19
"6773_111000000133",27
"6773_211000000133",14
"6773_311000000133",15
"6773_411000000133",12
"6773_511000000133",12
"6773_611000000133",10
"6773_711000000133",10
"6773_811000000133",14
"6774_401000000131",30
"6774_501000000131",21
"6774_111000000131",25
"6774_211000000131",20
"6774_311000000131",20
"6774_411000000131",13
"6774_511000000131",16
"6774_611000000131",20
"6774_711000000131",10
"6774_811000000131",10
"6777_401000000133",40
"6777_501000000133",15
"6777_111000000133",20
"6777_211000000133",20
"6777_311000000133",12
"6777_411000000133",19
"6777_511000000133",14
"6777_611000000133",36
"6777_711000000133",35
"6777_811000000133",16
"6780_401000000133",40
"6780_501000000133",24
"6780_111000000133",37
"6780_211000000133",19
"6780_311000000133",16
"6780_411000000133",14
"6780_511000000133",20
"6780_611000000133",24
"6780_711000000133",32
"6780_811000000133",24
"6781_401000000133",13
"6781_501000000133",7
"6781_111000000133",18
"6781_211000000133",6
"6781_311000000133",7
"6781_411000000133",4
"6781_511000000133",10
"6781_611000000133",7
"6781_711000000133",10
"6781_811000000133",10
"6785_401000000133",30
"6785_501000000133",16
