"mrun","rbd_cc","preferencia_postulante"
3479,"7236_131000000133",1
3479,"7276_131000000133",2
11728,"7006_711000000133",1
11728,"7004_711000000133",2
13053,"7129_231000000133",1
20425,"22759_131000000133",1
30454,"7004_511000000133",1
30454,"6983_511000000133",2
33742,"6752_131000000133",1
33742,"6755_131000000133",2
33742,"6751_131000000133",3
37964,"6899_711000000133",1
38826,"22755_131000000133",1
38826,"22758_131000000133",2
38826,"7236_131000000133",3
38826,"7276_131000000133",4
39129,"22398_131000000133",1
39129,"31010_131000000133",2
39129,"22540_131000000133",3
39129,"6752_131000000133",4
39129,"22459_131000000133",5
39129,"22014_131000000333",6
39129,"6836_131000000131",7
39129,"22634_131000000133",8
39129,"31012_131000000133",9
43190,"6835_131000000131",1
43190,"6826_131000000131",2
43190,"31010_131000000133",3
46413,"6752_131000000133",1
46413,"22540_131000000133",2
46413,"6766_131000000133",3
46693,"22140_151051009133",1
46693,"22140_151052010133",2
46745,"31010_331000000133",1
46745,"6830_331000000111",2
46745,"6832_331000000113",3
46745,"6836_331000000131",4
47204,"6752_131000000133",1
47204,"22540_131000000133",2
47204,"31010_131000000133",3
47204,"6751_131000000133",4
54939,"22140_151052010133",1
56049,"16844_131000000133",1
56049,"16843_131000000133",2
66712,"22743_231000000233",1
66712,"7128_231000000133",2
70481,"6896_611000000133",1
70481,"22747_611000000133",2
70481,"22428_611000000133",3
73641,"6835_611000000131",1
73641,"6832_611000000133",2
73641,"22459_611000000133",3
73641,"6762_611000000113",4
83373,"7102_231000000133",1
87753,"6832_231000000133",1
87753,"6753_231000000133",2
87753,"6754_231000000133",3
87753,"22516_231000000133",4
87753,"22351_231000000133",5
87753,"6828_231000000133",6
87753,"6766_231000000133",7
87753,"22459_231000000133",8
87753,"7031_231000000133",9
90806,"7129_131000000133",1
90806,"7181_131000000133",2
90806,"7183_131000000133",3
91623,"22540_131000000133",1
91623,"22516_131000000133",2
91623,"31010_131000000133",3
91623,"22459_131000000133",4
97950,"22351_411000000131",1
97950,"22398_411000000133",2
97950,"22629_411000000133",3
105199,"22496_311000000133",1
105199,"12185_311000000133",2
105746,"22755_131000000133",1
105746,"7236_131000000133",2
105746,"22495_131000000133",3
113169,"7129_711000000133",1
113169,"7183_711000000133",2
113169,"7128_711000000133",3
114005,"7129_711000000133",1
114005,"7181_711000000133",2
114005,"22743_711000000233",3
115557,"22752_371072007133",1
131464,"22140_151052010133",1
131464,"22024_131000000133",2
134352,"22351_811000000131",1
134352,"6832_811000000133",2
134352,"6826_811000000131",3
134352,"31012_811000000133",4
137739,"16844_131000000133",1
138493,"6896_811000000133",1
138493,"6895_811000000133",2
138493,"22428_811000000133",3
139680,"22415_131000000133",1
139680,"6751_131000000133",2
139998,"22140_151051009133",1
141330,"6755_131000000133",1
141330,"6752_131000000133",2
142261,"22140_151053014133",1
142261,"22140_151051009133",2
145776,"16843_611000000133",1
145776,"6853_611000000133",2
151651,"6829_611000000123",1
151651,"22351_611000000131",2
151651,"6832_611000000133",3
151651,"22398_611000000133",4
152589,"22752_171072007133",1
152589,"22752_161061001133",2
152589,"22752_161061003133",3
153603,"7276_231000000133",1
153603,"7240_231000000133",2
153603,"22495_231000000133",3
155052,"22462_371072007133",1
155052,"16844_371072007133",2
155052,"6846_361064001133",3
158917,"7181_711000000133",1
158917,"7183_711000000133",2
158917,"7129_711000000133",3
158917,"22752_711000000133",4
158917,"7130_711000000133",5
160168,"7200_131000000133",1
160168,"22313_131000000133",2
162946,"7276_711000000133",1
162946,"22352_711000000133",2
162946,"22458_711000000133",3
163803,"6897_131000000133",1
163803,"6896_131000000133",2
166484,"11591_131000000133",1
166484,"22758_131000000133",2
166484,"7299_131000000133",3
172671,"22354_711000000133",1
172671,"7131_711000000133",2
174064,"7129_131000000133",1
174064,"7181_131000000133",2
174064,"7183_131000000133",3
174064,"31005_131000000133",4
174064,"22752_161061001133",5
176981,"22462_361064008133",1
177224,"6773_611000000133",1
177224,"22333_611000000133",2
177224,"22226_611000000133",3
181513,"6929_131000000133",1
181513,"22140_151052010133",2
181513,"22024_131000000133",3
181828,"6836_331000000131",1
181828,"6828_331000000133",2
181828,"6753_331000000133",3
181828,"22629_331000000133",4
184445,"7044_131000000133",1
184445,"16843_131000000133",2
184445,"6895_131000000133",3
193788,"6964_311000000133",1
193788,"22558_311000000133",2
193788,"6930_311000000133",3
193878,"7128_131000000133",1
193878,"31005_131000000133",2
196895,"7202_131000000133",1
196895,"7200_131000000133",2
207825,"22462_361064008133",1
207825,"6897_361064001133",2
209658,"31010_711000000133",1
209658,"6828_711000000133",2
209658,"6836_711000000131",3
209658,"6764_711000000133",4
210324,"6929_131000000133",1
210324,"16844_131000000133",2
210324,"7200_131000000133",3
216091,"22140_151053014133",1
216091,"22752_161061001133",2
220182,"7050_511000000133",1
220182,"7059_511000000133",2
222288,"20567_511000000133",1
222288,"22588_511000000133",2
222288,"6764_511000000133",3
224623,"7276_231000000133",1
224623,"7236_231000000133",2
224623,"22140_251053014133",3
228616,"6835_131000000131",1
228616,"31010_131000000133",2
229409,"7102_131000000133",1
229409,"16843_131000000133",2
240141,"6896_331000000133",1
240141,"6895_331000000133",2
240141,"6853_361061001133",3
245618,"22351_611000000131",1
245618,"6836_611000000131",2
245618,"6832_611000000133",3
245618,"6830_611000000111",4
246442,"22351_711000000131",1
246442,"6836_711000000131",2
246442,"6832_711000000133",3
246442,"20567_711000000133",4
246442,"22459_711000000133",5
248811,"22752_261061003133",1
248811,"7236_231000000133",2
248811,"7240_231000000133",3
252354,"22483_131000000133",1
252354,"6897_131000000133",2
252354,"16843_131000000133",3
257385,"16844_131000000133",1
257385,"22752_171072007133",2
257385,"7031_131000000133",3
257385,"22218_131000000133",4
258707,"22351_411000000131",1
258707,"6830_411000000111",2
258707,"22319_411000000133",3
258707,"22532_411000000133",4
262531,"6897_341041005133",1
262531,"6922_341041005133",2
262531,"22462_331000000133",3
268652,"31010_711000000133",1
268652,"6765_711000000133",2
269238,"6826_311000000131",1
