"mrun_1","mrun_2"
13053,15702454
40525,26724017
43190,26295055
46693,12297260
46693,14972632
46693,22545960
46745,23826767
70481,25203795
83373,26409305
83373,26421898
91623,26797422
97950,25938212
134352,18588241
151651,26154054
158917,26716920
162946,21307413
176981,4081505
176981,13652895
193345,27033497
193878,25900908
193878,25953733
207825,19747780
220182,25433676
224623,22426158
228616,2750163
228616,25288234
240141,4137533
240141,25650446
285454,26115484
294446,26677261
310356,25583056
342319,26144788
352728,26274670
373028,25996067
381275,23763293
390306,25215067
399659,26200298
416843,2697358
432118,25531743
473977,5507611
473977,16696597
504947,25957437
508470,18391625
515799,11630469
521187,15530258
521187,25350096
521187,26136040
521984,7797220
521984,24799068
535321,11283579
581675,25654580
612351,26226284
615312,25208358
615312,26847789
630370,26892758
634661,26195636
636505,7961222
637291,6849342
690965,25370937
749386,22407203
781233,9556390
788986,19792016
801709,6962684
825923,25355903
841108,26219981
852938,3001952
852938,26338046
853039,25330187
855583,26444616
898612,18513026
898612,26184178
940885,26560274
952436,25590272
980897,11012800
980897,26144956
984421,19040946
987012,25350453
993860,21170902
1018382,26998442
1025028,12253488
1030742,26832992
1043882,24797230
1158227,15658827
1175115,26395417
1179643,26190095
1189230,27625468
1191919,23857182
1201840,26086402
1227161,8837799
1227670,19493461
1227670,26019886
1252477,25196761
1254420,27621073
1254420,27631548
1262514,9216710
1279802,11057626
1324311,18593551
1324311,25926620
1340520,26884967
1365619,15908918
1365619,25664226
1369773,26444822
1385306,26168343
1407740,25660965
1422770,26273163
1427301,15102625
1430923,26585944
1432237,25354833
1467062,26806898
1488098,25582848
1502987,11453788
1518848,24916367
1537302,27050613
1564771,26163438
1565220,26909438
1598175,4437742
1621005,26533567
1622608,25652316
1623344,25417238
1630416,26560885
1654972,8077762
1658207,26402486
1669437,17917487
1675156,25306984
1699891,25769822
1699891,25778420
1708339,25164820
1719640,25985925
1730132,22338883
1732648,24118347
1735001,26004434
1766809,26092454
1779469,26755990
1841612,12731791
1857457,20085768
1891481,25684234
1899390,23220156
1902937,27035515
1905517,25567781
1918131,27636556
1939263,26888441
