"rbd_cc","vacantes"
"97_131000000133",185
"97_231000000133",45
"97_341041002133",12
"97_341041005133",23
"97_351058034133",4
"97_441041002133",4
"97_441041005133",13
"97_451058034133",4
"106_711000000133",38
"106_811000000133",15
"106_131000000133",119
"106_231000000133",56
"106_351052010133",10
"106_351052013133",9
"106_351053014133",14
"106_381081004133",9
"106_451052010133",6
"106_451052013133",6
"106_451053014133",20
"106_481081004133",15
"107_711000000133",38
"107_811000000133",43
"107_131000000133",139
"107_231000000133",77
"107_331000000133",52
"107_431000000133",48
"108_131000000133",204
"108_231000000133",40
"108_351052009133",12
"108_351052010133",5
"108_351052013133",24
"108_351053014133",22
"108_361061003133",12
"108_361064001133",21
"108_451052009133",12
"108_451052010133",1
"108_451052013133",5
"108_451053014133",17
"108_461061003133",12
"108_461064001133",5
"109_111000000133",40
"109_211000000133",4
"109_311000000133",5
"109_411000000133",5
"109_511000000133",41
"109_611000000133",46
"109_711000000133",10
"109_811000000133",12
"109_131000000133",44
"109_231000000133",22
"109_341041005133",3
"109_361063011133",24
"109_361064001133",27
"109_361064008133",7
"109_441041005133",6
"109_461063011133",10
"109_461064001133",12
"109_461064008133",2
"110_401000000133",70
"110_501000000133",10
"110_111000000133",12
"110_211000000133",5
"110_311000000133",12
"110_411000000133",8
"110_511000000133",10
"110_611000000133",7
"110_711000000133",11
"110_811000000133",8
"110_131000000133",24
"110_231000000133",13
"110_331000000133",10
"110_431000000133",12
"111_401000000133",70
"111_501000000133",9
"111_111000000133",10
"111_211000000133",6
"111_311000000133",6
"111_411000000133",4
"111_511000000133",5
"111_611000000133",13
"111_711000000133",3
"111_811000000133",10
"112_401000000131",30
"112_401000000132",30
"112_501000000131",3
"112_501000000132",5
"112_111000000132",12
"112_211000000132",4
"112_311000000132",11
"112_411000000132",2
"112_511000000131",10
"112_611000000131",6
"112_711000000131",11
"112_811000000131",1
"113_401000000133",70
"113_501000000133",5
"113_111000000133",38
"113_211000000133",13
"113_311000000133",14
"113_411000000133",6
"113_511000000133",18
"113_611000000133",12
"113_711000000133",14
"113_811000000133",13
"114_501000000133",5
"114_111000000133",35
"114_211000000133",3
"114_311000000133",6
"114_411000000133",5
"114_511000000133",4
"114_611000000133",5
"114_711000000133",7
"114_811000000133",1
"116_401000000133",70
"116_501000000133",7
"116_111000000133",3
"116_211000000133",0
"116_311000000133",11
"116_411000000133",8
"116_511000000133",0
"116_611000000133",7
"116_711000000133",3
"116_811000000133",6
"117_401000000133",35
"117_501000000133",32
"117_111000000133",44
"117_211000000133",9
"117_311000000133",9
"117_411000000133",7
"117_511000000133",14
"117_611000000133",10
"117_711000000133",10
"117_811000000133",3
"119_401000000133",35
"119_501000000133",5
"119_111000000133",38
"119_211000000133",9
"119_311000000133",10
"119_411000000133",5
"119_511000000133",6
"119_611000000133",8
"119_711000000133",8
"119_811000000133",3
"122_401000000133",25
"122_501000000133",5
"122_111000000133",7
"122_211000000133",3
"122_311000000133",7
"122_411000000133",5
"122_511000000133",4
"122_611000000133",7
"122_711000000133",8
"122_811000000133",5
"123_401000000131",35
"123_501000000131",11
"123_111000000131",41
"123_211000000131",24
"123_311000000131",16
"123_411000000131",21
"123_511000000131",15
"123_611000000131",21
"123_711000000131",15
"123_811000000131",16
"124_131000000133",295
"124_231000000133",47
"124_351052013133",0
"124_351053015133",8
"124_351054019133",0
"124_351054020133",4
"124_351058035133",12
"124_361064008133",1
"124_451052013133",5
"124_451053015133",6
"124_451054019133",18
"124_451054020133",5
"124_451058035133",7
"124_461064008133",7
"125_401000000133",70
"125_501000000133",15
"125_111000000133",26
"125_211000000133",3
"125_311000000133",6
"125_411000000133",15
"125_511000000133",6
"125_611000000133",25
"125_711000000133",10
"125_811000000133",16
"125_131000000133",52
"125_231000000133",14
"125_331000000133",35
"125_431000000133",15
"126_401000000131",60
"126_501000000131",12
"126_111000000131",18
"126_211000000131",9
"126_311000000131",13
"126_411000000131",4
"126_511000000131",7
"126_611000000131",10
"126_711000000131",9
"126_811000000131",7
"127_111000000111",76
"127_211000000111",17
"127_311000000111",6
"127_411000000111",17
"127_511000000111",8
"127_611000000111",6
"127_711000000111",8
"127_811000000111",6
"127_131000000111",20
"127_231000000111",9
"127_331000000111",6
"127_431000000111",4
"129_401000000132",5
"129_501000000132",14
"129_111000000132",16
"129_211000000132",9
"129_311000000132",6
"129_411000000132",8
"129_511000000132",5
"129_611000000132",4
"129_711000000132",9
"129_811000000132",9
"129_131000000131",13
"129_231000000131",12
"129_331000000131",12
"129_431000000131",11
"130_111000000131",32
"130_211000000131",9
"130_311000000131",9
"130_411000000131",5
"130_511000000131",0
"130_611000000131",5
"130_711000000131",2
"130_811000000131",5
"130_131000000131",8
"130_231000000131",3
"130_331000000131",1
"130_431000000131",1
"131_111000000131",25
"131_211000000131",16
"131_311000000131",15
"131_411000000131",14
"131_511000000131",8
"131_611000000131",15
"131_711000000131",6
"131_811000000131",10
"131_131000000131",19
"131_231000000131",12
"131_331000000131",20
"131_431000000131",7
"132_501000000131",79
"132_501000000132",79
"132_111000000133",39
"132_211000000133",4
"132_311000000133",5
"132_411000000133",4
"132_511000000133",2
"132_611000000133",51
"132_711000000133",11
"132_811000000133",13
"132_131000000133",19
"132_231000000133",12
"132_331000000133",3
"132_431000000133",0
"133_401000000132",35
"133_501000000131",4
"133_111000000133",33
"133_211000000133",3
"133_311000000133",2
"133_411000000133",0
"133_511000000133",0
"133_611000000133",0
"133_711000000133",4
"133_811000000133",2
"133_131000000133",3
"133_231000000133",5
"133_331000000133",5
"133_431000000133",0
"134_111000000131",31
"134_211000000131",10
"134_311000000131",7
"134_411000000131",3
"134_511000000131",9
"134_611000000131",6
"134_711000000131",4
"134_811000000131",4
"134_131000000131",5
"134_231000000131",8
"134_331000000131",9
"134_431000000131",3
"144_111000000131",26
"144_211000000131",15
"144_311000000131",4
"144_411000000131",10
"144_511000000131",10
"144_611000000131",9
"144_711000000131",5
"144_811000000131",17
"144_131000000131",19
"144_231000000131",12
"144_331000000131",7
"144_431000000131",7
"154_111000000133",6
"154_211000000133",1
"154_311000000133",2
"154_411000000133",1
"154_511000000133",2
"154_611000000133",1
"154_711000000133",2
"154_811000000133",1
"156_401000000133",6
"156_501000000133",1
"156_111000000133",1
"156_211000000133",0
"156_311000000133",4
"156_411000000133",2
"156_511000000133",9
"156_611000000133",6
