"mrun","rbd_cc","preferencia_postulante"
1977,"10917_711000000133",1
1977,"12566_711000000133",2
1977,"40399_711000000133",3
4194,"10917_131000000133",1
4194,"12747_131000000133",2
5161,"10917_811000000133",1
5161,"12649_811000000133",2
5161,"12650_811000000133",3
5161,"12566_811000000133",4
6367,"40422_611000000133",1
6367,"12652_611000000133",2
6367,"12603_611000000133",3
6367,"12590_611000000131",4
6367,"110_611000000133",5
6367,"12515_611000000133",6
6367,"12604_611000000133",7
6367,"12710_611000000133",8
12371,"109_341041005133",1
12371,"133_331000000133",2
12371,"12604_331000000133",3
13255,"10917_131000000133",1
13255,"12649_131000000133",2
13255,"12686_131000000133",3
13255,"40422_131000000133",4
13255,"12655_131000000133",5
13255,"12650_131000000133",6
13255,"12749_131000000133",7
13255,"125_131000000133",8
17818,"40295_411000000133",1
22765,"10917_811000000133",1
22765,"12736_811000000133",2
23052,"124_231000000133",1
23052,"12573_231000000131",2
29022,"10917_131000000133",1
29022,"12749_131000000133",2
31521,"12667_811000000133",1
31521,"132_811000000133",2
43350,"132_811000000133",1
43350,"12667_811000000133",2
43350,"40320_811000000133",3
43350,"12652_811000000133",4
43350,"12682_811000000133",5
45230,"12631_711000000133",1
45230,"12515_711000000133",2
45230,"12518_711000000133",3
45585,"124_131000000133",1
45585,"110_131000000133",2
48916,"10917_711000000133",1
48916,"12652_711000000133",2
48916,"12603_711000000133",3
48916,"12605_711000000133",4
53526,"10917_711000000133",1
53526,"12650_711000000133",2
53526,"12603_711000000133",3
61208,"10917_131000000133",1
61208,"12652_131000000133",2
61208,"12650_131000000133",3
61208,"12534_131000000133",4
66321,"132_331000000133",1
66321,"12667_331000000133",2
66321,"40320_331000000133",3
66321,"133_331000000133",4
66321,"97_341041002133",5
67656,"12591_511000000133",1
67656,"132_511000000133",2
72102,"12538_511000000133",1
72102,"12591_511000000133",2
72102,"133_511000000133",3
72102,"12715_511000000133",4
73211,"12652_711000000133",1
73211,"12534_711000000133",2
73211,"12605_711000000133",3
76917,"40320_231000000133",1
76917,"110_231000000133",2
85548,"191_131000000133",1
90595,"12566_511000000133",1
90595,"12605_511000000133",2
93558,"10917_711000000133",1
93558,"12566_711000000133",2
93934,"191_131000000133",1
94950,"40320_131000000133",1
94950,"132_131000000133",2
109206,"10917_711000000133",1
109206,"12650_711000000133",2
109510,"12603_611000000133",1
109510,"12567_611000000133",2
109510,"12605_611000000133",3
109510,"12652_611000000133",4
109510,"12649_611000000133",5
109510,"12747_611000000133",6
109510,"114_611000000133",7
111380,"12726_311000000133",1
111380,"12588_311000000132",2
111380,"12652_311000000133",3
111380,"12567_311000000133",4
111380,"12686_311000000133",5
111380,"12649_311000000133",6
111380,"12747_311000000133",7
111380,"12715_311000000133",8
115270,"40399_411000000133",1
115270,"12534_411000000133",2
115270,"12632_411000000133",3
115270,"12602_411000000133",4
115270,"192_411000000133",5
119669,"10917_131000000133",1
119669,"12749_131000000133",2
119669,"12719_131000000133",3
120713,"12667_411000000133",1
120713,"132_411000000133",2
120713,"12682_411000000133",3
120713,"40043_411000000133",4
120782,"10917_331000000133",1
120782,"10917_351054018133",2
120782,"12650_331000000133",3
122731,"12652_311000000133",1
122731,"12603_311000000133",2
122731,"12605_311000000133",3
122779,"10917_131000000133",1
122779,"12603_131000000133",2
122779,"12566_131000000133",3
124833,"12534_511000000133",1
124833,"12605_511000000133",2
132518,"12650_711000000133",1
132518,"12649_711000000133",2
134659,"10917_131000000133",1
134659,"12551_131000000133",2
136788,"10917_711000000133",1
136788,"12652_711000000133",2
138097,"12749_351052013133",1
138097,"12655_351052010133",2
138097,"10917_351054018133",3
138097,"12719_351054019133",4
138694,"12591_511000000133",1
138694,"12667_511000000133",2
139322,"12650_711000000133",1
139322,"10917_711000000133",2
139322,"12693_711000000133",3
139322,"12726_711000000133",4
140137,"12594_611000000133",1
140137,"12667_611000000133",2
140137,"132_611000000133",3
140137,"12604_611000000133",4
140878,"106_131000000133",1
140878,"124_131000000133",2
140878,"110_131000000133",3
141121,"132_711000000133",1
141121,"12667_711000000133",2
142461,"12747_611000000133",1
142461,"12728_611000000133",2
142461,"12686_611000000133",3
142461,"12632_611000000133",4
143598,"111_611000000133",1
143598,"110_611000000133",2
143598,"12710_611000000133",3
143598,"119_611000000133",4
143726,"12672_611000000123",1
143726,"40320_611000000233",2
143726,"12573_611000000132",3
147084,"12504_611000000131",1
147084,"12590_611000000131",2
147084,"110_611000000133",3
147084,"12604_611000000133",4
147084,"12631_611000000133",5
147084,"112_611000000131",6
150679,"12534_811000000133",1
150679,"12715_811000000133",2
154431,"12603_231000000133",1
154431,"12686_231000000133",2
154431,"40422_231000000133",3
154431,"12747_231000000133",4
156890,"12650_131000000133",1
156890,"12602_131000000133",2
156890,"10917_131000000133",3
156890,"12605_131000000133",4
156890,"12603_131000000133",5
156890,"12652_131000000133",6
156890,"12655_131000000133",7
156890,"12632_131000000133",8
156890,"40422_131000000133",9
160702,"10917_131000000133",1
160702,"12566_131000000133",2
163252,"12650_351054018133",1
163252,"12650_351055023133",2
163252,"12605_331000000133",3
163252,"12534_351053014133",4
166957,"12649_131000000133",1
166957,"12686_131000000133",2
166957,"12605_131000000133",3
174119,"10917_131000000133",1
174119,"12566_131000000133",2
174119,"12534_131000000133",3
174119,"12632_131000000133",4
178315,"12631_231000000133",1
178315,"12667_231000000133",2
178315,"132_231000000133",3
178315,"40295_231000000133",4
182340,"131_131000000131",1
182340,"144_131000000131",2
182340,"134_131000000131",3
182340,"12573_131000000131",4
182340,"129_131000000131",5
182883,"12632_611000000133",1
182883,"40422_611000000133",2
182883,"12652_611000000133",3
182883,"12749_611000000133",4
182883,"12566_611000000133",5
182883,"12649_611000000133",6
182883,"12655_611000000133",7
182883,"12719_611000000133",8
182883,"12594_611000000133",9
188641,"10917_811000000133",1
188641,"12686_811000000133",2
188641,"12749_811000000133",3
188641,"12649_811000000133",4
188641,"12650_811000000133",5
189667,"12667_411000000133",1
189667,"132_411000000133",2
189667,"40295_411000000133",3
190989,"12591_511000000133",1
190989,"12509_511000000131",2
192723,"132_511000000133",1
193183,"193_511000000133",1
193183,"12736_511000000133",2
193183,"12623_511000000133",3
196274,"40422_411000000133",1
196274,"12534_411000000133",2
198691,"12649_611000000133",1
198691,"12686_611000000133",2
198691,"12693_611000000133",3
198691,"12719_611000000133",4
201974,"40422_711000000133",1
201974,"12749_711000000133",2
201974,"12650_711000000133",3
201974,"10917_711000000133",4
201974,"12649_711000000133",5
201974,"12632_711000000133",6
202875,"10917_231000000133",1
202875,"12650_231000000133",2
202875,"12652_231000000133",3
202875,"12603_231000000133",4
215228,"10917_711000000133",1
215228,"12650_711000000133",2
215228,"12652_711000000133",3
216229,"12631_511000000133",1
216229,"126_511000000131",2
216229,"12667_511000000133",3
