"mrun_1","mrun_2"
6367,13809032
12371,27052686
17818,26173111
61208,25934658
66321,2056878
108181,26510344
120782,8997687
122779,6233426
124833,26020311
136788,26690250
138097,5641213
138097,25541604
140878,26775591
142461,25648765
176981,13652895
178315,4376049
178315,6909445
182178,26385361
189667,26558988
193183,25690831
198691,27045576
201974,26020585
202875,16159442
232882,26404331
238246,24556877
241365,26711338
247392,14474542
247392,25944885
267428,2698349
272395,25550006
272395,26759519
294089,7865333
294089,26724674
308471,25195493
338621,26992539
384867,26025147
386116,26107496
419906,13237204
420619,16200850
427195,26850543
434638,6690597
436764,26711679
486431,23789063
515806,26208804
547441,26410935
567630,14629713
567630,26668627
572270,26994346
573070,26200330
586850,11232150
587365,26853552
599358,20157664
604347,26089175
607452,26834872
625230,10691545
626556,16213260
635758,16513483
659691,198691
665035,9379588
673167,26155804
679938,27208442
689357,25728838
698260,17137465
713892,11654653
732939,25443744
741787,26118669
741787,26787837
766036,21023102
767732,26220654
774376,15570608
774376,24596749
774376,27142822
784741,25979877
789590,2493066
789590,23854525
797724,26419085
802123,12155964
821320,26850053
833636,27164483
838966,20141619
839785,26723287
842978,21468152
851527,26117843
859783,25650824
866427,26446486
866549,12414278
898245,6875947
923156,25213541
923156,25732807
946531,25647822
946531,25930154
950954,27217237
958358,27041243
975341,26095325
988592,26108259
988592,26124637
991504,25956132
1001514,26294969
1009597,27017050
1010090,12797260
1010875,16379792
1034128,26331067
1067563,25338173
1089503,26152173
1089503,26274491
1103037,26005099
1105360,5541194
1122761,26894464
1132851,25430155
1145141,19615074
1147724,12540456
1147724,26368673
1167548,27036890
1170980,26442731
1173821,14322903
1245860,26184748
1286697,27025151
1294215,27332687
1324065,22253334
1324080,14899855
1327104,4469581
1329418,27056238
1338456,17489973
1340225,25917383
1340225,26181855
1353886,27632151
1356317,26000920
1399643,19584359
1405034,6766921
1407394,21428382
1431975,10986938
1431975,27053783
1434174,26357382
1439370,26411943
1441038,25696193
1474525,26184972
1474632,26213914
1487691,26509620
1494303,3184929
1500013,7890359
1516101,10159853
1520379,16557246
1547246,11531638
1582900,24901799
1585838,25281533
1595171,25649681
1595171,26185991
1606757,13997569
1622107,26118669
1622107,26787837
1630736,25347878
1630765,26502606
1632234,26670388
1657297,1765120
1657297,18014645
1668332,26008611
1677138,14147528
1677138,25395276
1677138,25732286
1682136,25353666
1694069,3023287
1694907,10439088
1700944,25573024
1706963,14046906
1707283,26831425
1709330,26384512
1715985,25201241
1719640,25985925
1744441,26405755
1746316,26728793
1746602,26436056
1751714,24449697
1751714,27016425
1756135,25658379
1759632,2131232
1759632,26771811
1765120,27376910
1793263,25649663
1825753,26321082
